DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,TATTAGUINE,BACOBOF,1,595.0,ECOLE  CE1
FATICK,TATTAGUINE,BACOBOF,2,597.0,ECOLE SALLE DE CLASSE CM1
FATICK,TATTAGUINE,ECOLE NGOHE MBOUGUEL,1,246.0,CLASSE CE1 SALLE 3
FATICK,TATTAGUINE,GARAGE MBAMBARA TATTAGUINE,1,55.0,ECOLE CP2 SALLE N°1
FATICK,TATTAGUINE,KAMIACK,1,231.0,ECOLE CLASSE CM 2
FATICK,TATTAGUINE,KEUR MANGARI,1,390.0,ECOLE CE1 SALLE N°1
FATICK,TATTAGUINE,KHONDIOGNE,1,600.0,ECOLE CE1 SALLE N°1
FATICK,TATTAGUINE,LOUL SOB,1,103.0,ECOLE CLASSE CM2 SALLE 7
FATICK,TATTAGUINE,MBEDAP,1,379.0,ECOLE CE2 SALLE N°1
FATICK,TATTAGUINE,MBEDAP,2,355.0,ECOLE SALLE 2
FATICK,TATTAGUINE,MBELLONGOUTE,1,418.0,ECOLE CM1
FATICK,TATTAGUINE,MBELLONGOUTE,2,350.0,ECOLE SALLE 5
FATICK,TATTAGUINE,NAKHAMAYE,1,285.0,ECOLE SALLE DE CLASSE CE2
FATICK,TATTAGUINE,NDIOSMONE,1,561.0,ECOLE CE1
FATICK,TATTAGUINE,NDIOSMONE,2,557.0,ECOLE CI
FATICK,TATTAGUINE,NDIOSMONE,3,108.0,ECOLE CLASSE CM2
FATICK,TATTAGUINE,NDOFFANE,1,117.0,ABRI PROVISOIRE
FATICK,TATTAGUINE,NGOHE MBADATTE,1,584.0,ECOLE SALLE DE CLASSE CI
FATICK,TATTAGUINE,NGOHE MBADATTE,2,76.0,ECOLE CLASSE CP
FATICK,TATTAGUINE,NGOHE NDOFOGOR,1,415.0,ECOLE CE1
FATICK,TATTAGUINE,NGOHE NDOFOGOR,2,413.0,ECOLE CM1
FATICK,TATTAGUINE,NGOHE POFINE,1,480.0,ECOLE CP2
FATICK,TATTAGUINE,NGOHE POFINE,2,480.0,ECOLE CE2
FATICK,TATTAGUINE,POULTOCK NDIOSMONE,1,470.0,ECOLE CM1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,1,565.0,ECOLE CP1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,2,568.0,ECOLE CM1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,3,569.0,ECOLE  CE2
FATICK,TATTAGUINE,TATTAGUINE KEUR MARTIN,1,329.0,ECOLE SALLE DE CLASSE CE1
FATICK,TATTAGUINE,TATTAGUINE SERERE,1,480.0,ECOLE CE2
FATICK,TATTAGUINE,TATTAGUINE SERERE,2,490.0,ECOLE SALLE DE CLASSE CE1
FATICK,TATTAGUINE,TATTAGUINE SERERE,3,469.0,ECOLE SALLE DE CLASSE CM2
FATICK,TATTAGUINE,TATTAGUINE SERERE,4,471.0,ECOLE CLASSE CM1
FATICK,TATTAGUINE,THIAMENE,1,446.0,ECOLE CE2
