DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,DIOSSONG,BAMBOUGAR MALICK,1,560,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,DIOSSONG,1,478,ECOLE 1 CLASSE 1
FOUNDIOUGNE,DIOSSONG,DIOSSONG,2,479,ECOLE 1 CLASSE 4
FOUNDIOUGNE,DIOSSONG,DIOSSONG,3,478,ECOLE 1 SALLE 3
FOUNDIOUGNE,DIOSSONG,ECOLE ELEMENTAIRE KEUR ABDOU YACINE,1,213,SALLE 1
FOUNDIOUGNE,DIOSSONG,ECOLE ELEMENTAIRE THIAMENE BIRANE,1,262,SALLE 2
FOUNDIOUGNE,DIOSSONG,KEBE ANSOU,1,310,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,KEBE COUDE,1,493,FOYER DE LA FEMME
FOUNDIOUGNE,DIOSSONG,KEUR ELIMANE,1,304,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,KEUR LAHINE FATIM,1,391,ABRI PROVISOIRE
FOUNDIOUGNE,DIOSSONG,KEUR LAHINE FATIM,2,72,ABRI PROVISOIRE 2
FOUNDIOUGNE,DIOSSONG,LERANE COLI,1,421,ECOLE 1 CLASSE 1
FOUNDIOUGNE,DIOSSONG,LERANE SAMBOU,1,488,ABRI PROVISOIRE
FOUNDIOUGNE,DIOSSONG,MBOULOUM,1,477,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,MBOWENE SOULEYE,1,540,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAFFE NDIAFFE,1,589,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAYE NDIAYE OUOLOF,1,441,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAYE NDIAYE OUOLOF,2,439,ECOLE 1 SALLE 2
FOUNDIOUGNE,DIOSSONG,NDIONGONE BOURE,1,333,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDORONG OUOLOF,1,267,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDORONG SERERE,1,369,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDRAME MACOUMBA,1,493,ECOLE RADI SALLE 1
FOUNDIOUGNE,DIOSSONG,TALLENE,1,328,ABRI PROVISOIRE
