DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,DJILOR,BANDANDAR,1,311.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,BANDANDAR,2,311.0,SALLE 4
FOUNDIOUGNE,DJILOR,BANGALERE,1,168.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,BOLI,1,186.0,ECOLE 1 CLASSE CM 2
FOUNDIOUGNE,DJILOR,DJILOR,1,579.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,DJILOR,2,578.0,ECOLE1 SALLE 4
FOUNDIOUGNE,DJILOR,DJILOR,3,578.0,ECOLE1 SALLE 6
FOUNDIOUGNE,DJILOR,DJILOR,4,578.0,ECOLE 1 SALLE 3
FOUNDIOUGNE,DJILOR,FELANE,1,338.0,FOYER DE LA FEMME
FOUNDIOUGNE,DJILOR,FELANE,2,337.0,ABRI PROVISOIRE
FOUNDIOUGNE,DJILOR,GAGUE CHERIF,1,383.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,GAGUE CHERIF,2,198.0,ECOLE SALLE 3
FOUNDIOUGNE,DJILOR,GOUDEME SIDY,1,391.0,ABRI PROVISOIRE
FOUNDIOUGNE,DJILOR,KEUR CHEIKHOU,1,213.0,ECOLE 1 SALLE 3
FOUNDIOUGNE,DJILOR,KEUR DABO,1,161.0,ECOLE 1 SALLE 9
FOUNDIOUGNE,DJILOR,KEUR FARBA,1,311.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,DJILOR,KEUR MOR DIOP,1,523.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,KEUR OUMAR,1,154.0,CLASSE CE 1
FOUNDIOUGNE,DJILOR,KEUR YORO,1,458.0,CLASSE CP
FOUNDIOUGNE,DJILOR,NDIASSANE SALOUM,1,558.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NDIASSANE SALOUM,2,70.0,ECOLE 1 SALLE 4
FOUNDIOUGNE,DJILOR,NDIOMNDI,1,467.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NGUEKOKH,1,351.0,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NGUEKOKH,2,179.0,ECOLE SALLE 2
FOUNDIOUGNE,DJILOR,SADIOGA,1,290.0,ECOLE1 SALLE1
FOUNDIOUGNE,DJILOR,SADIOGA,2,289.0,ECOLE1 SALLE4
