DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,KARANG POSTE,ECOLE ELEMENTAIRE  KARANG SOCE,1,345,CLASSE CE1
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,1,582,CLASSE CM2A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,2,579,CLASSE CM2B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,3,584,CLASSE CM1A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,4,580,CLASSE CM1B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,5,576,CLASSE CE2A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,6,581,CLASSE CE2B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,7,572,CLASSE CE1 A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,8,578,CLASSE CE1B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,9,586,ECOLE 4 SALLE 1
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,10,580,ECOLE 4 SALLE 2
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,11,512,ECOLE 4 SALLE 3
