DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,PASSI,ECOLE 1,1,549.0,CLASSE CPB
FOUNDIOUGNE,PASSI,ECOLE 1,2,547.0,CLASSE CE2B
FOUNDIOUGNE,PASSI,ECOLE 1,3,547.0,CLASSE CE2A
FOUNDIOUGNE,PASSI,ECOLE 2,1,551.0,CLASSE CIA
FOUNDIOUGNE,PASSI,ECOLE 2,2,552.0,CLASSE CE2B
FOUNDIOUGNE,PASSI,ECOLE 2,3,549.0,CLASSE CM2
FOUNDIOUGNE,PASSI,ECOLE 2,4,548.0,CLASSE CE1B
FOUNDIOUGNE,PASSI,ECOLE 3,1,580.0,SALLE 1
FOUNDIOUGNE,PASSI,ECOLE 3,2,562.0,SALLE 4
FOUNDIOUGNE,PASSI,ECOLE 3,3,568.0,SALLE 5
FOUNDIOUGNE,PASSI,ECOLE 3,4,548.0,SALLE 3
FOUNDIOUGNE,PASSI,ECOLE 3,5,442.0,SALLE 9
