DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,TOUBACOUTA,AYDARA,1,230,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BADOUDOU,1,425,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BANI,1,586,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BATAMAR,1,308,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,1,505,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,2,503,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,3,505,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,4,504,SALLE DE CLASSE
FOUNDIOUGNE,TOUBACOUTA,BOSSINKANG,1,487,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BOUSSOURAH,1,90,ABRI PROVISOIRE
FOUNDIOUGNE,TOUBACOUTA,DAGA DIAODINE,1,142,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME,1,452,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME MISSIRAH,1,168,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME MISSIRAH,2,168,SALLE DE CLASSE
FOUNDIOUGNE,TOUBACOUTA,DIAGLE,1,333,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DIAGLE,2,331,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,DJINACK BARA,1,241,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,KEUR ALIOU GUEYE,1,326,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MEDINA SANGAKO,1,527,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MEDINA SANGAKO,2,526,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,1,480,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,2,479,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,3,481,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,NDIAMBANG,1,147,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,1,555,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,2,557,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,3,105,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,NEMA BAH,1,365,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NEMA BAH,2,364,CLASSE CE1 ECOLE ELEMENTAIRE
FOUNDIOUGNE,TOUBACOUTA,NEMA NDING,1,586,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NEMA NDING,2,586,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,SANDICOLI,1,591,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,SAROUDIA,1,407,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,1,582,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,2,583,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,3,585,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,4,583,SALLE DE CLASSE
