DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOSSAS,NDIENE LAGANE,INNA,1,372.0,CLASSE CE1 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,KEUR ALIOU TOURE,1,95.0,CLASSE CE 1 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,KEUR MASSAMBA BA,1,267.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,KHAYE MBAYAR,1,514.0,CLASSE CE1 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,KHAYE MBAYAR,2,514.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,NDIENE LAGANE,1,555.0,CLASSE CE1 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,NDIENE LAGANE,2,568.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,NDIENE LAGANE,3,565.0,CLASSE CM1 ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,NDIENE LAGANE,4,563.0,CLASSE CM2 B ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,NDIENE LAGANE,5,541.0,SALLE DE CLASSE CP ECOLE ELEM
GOSSAS,NDIENE LAGANE,NDOULO MALKA,1,340.0,CLASSE CP ECOLE ELEMENTAIRE
GOSSAS,NDIENE LAGANE,TEOUROU KOSSAM 2,1,382.0,CLASSE CE1 ECOLE ELEMENTAIRE
