DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOSSAS,PATAR LIA,BANANE,1,361.0,SALLE DE CLASSE CM1 ECOLE ELEM
GOSSAS,PATAR LIA,BOUNEFASSOW,1,234.0,SALLE DE CLASSE CP ECOLE ELEM
GOSSAS,PATAR LIA,BOUSTANE KEUR AMADOU DIOP,1,419.0,ABRI PROVISOIRE
GOSSAS,PATAR LIA,DIENDER 2,1,210.0,CLASSE CE 1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,GOSSAS VILLAGE,1,339.0,CLASSE 1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,GOSSAS VILLAGE,2,339.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,KEUR MACODOU,1,214.0,CLASSE CP ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,KEUR MEDOUNE,1,341.0,CLASSE CE1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,MBENGANE,1,312.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,METH,1,100.0,ABRI PROVISOIRE
GOSSAS,PATAR LIA,NDIABEL,1,410.0,CLASSE CP ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,NDOCK DIOUMA LEOUROU,1,305.0,CLASSE CE2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,NDOCK SARE,1,530.0,CLASSE CM1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,PATAR FISSEL,1,562.0,ABRI PROVISOIRE
GOSSAS,PATAR LIA,PATAR LIA,1,374.0,CLASSE CM2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,PATAR LIA,2,373.0,CLASSE CM1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,PATAR LIA,3,375.0,CLASSE CE 2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,SAKHMACK SERERE,1,245.0,CLASSE CM2 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,SOMB,1,429.0,CLASSE CM1 ECOLE ELEMENTAIRE
GOSSAS,PATAR LIA,SOMB,2,428.0,CLASSE CM2 ECOLE ELEMENTAIRE
