DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,NDIOGNICK,BAYTITE,1,329,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,BAYTITE,2,328,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,BOUCHRA,1,521,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,DAGA BIRAM,1,435,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,DAROU PAKALA,1,338,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR PATHE DEME,1,538,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR SAWELY,1,481,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR SAWELY,2,480,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,GOBACK SOUKOUM,1,529,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,GODJI AMADOU MATAR,1,521,CASE DE SANTE
BIRKILANE,NDIOGNICK,KETHIEWANE OUOLOF,1,478,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,KEUR MODOU NDIAMATOU,1,569,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR MODOU NDIAMATOU,2,113,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR NDARI,1,444,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR NDARI,2,444,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR SADER,1,412,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,LOUMENE,1,525,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,LOUMENE,2,528,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NANDJIGUI,1,392,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,NANDJIGUI,2,390,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,NDIAMACOLON,1,475,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIAMACOLON,2,372,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,NDIAYENE BAGANA,1,569,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIMB KORKI,1,353,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIMB KORKI,2,354,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NDIOGNICK,1,485,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIOGNICK,2,486,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NGOUYE,1,573,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NGOUYE,2,569,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NGOUYE,3,112,ECOLE SALLE DE CLASSE
BIRKILANE,NDIOGNICK,SEGRE BAMBARA,1,268,CASE DE SANTE
BIRKILANE,NDIOGNICK,SEGRE SECCO,1,429,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,SEGRE SECCO,2,428,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,TAYFA,1,431,ABRI PROVISOIRE
