DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,TOUBA MBELLA,BAGANA,1,312.0,ECOLE COMMUNAUTAIRE DE BASE
BIRKILANE,TOUBA MBELLA,BAYLA NDOUR,1,276.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,BAYLA NDOUR,2,276.0,ECOLE SALLE 2
BIRKILANE,TOUBA MBELLA,BIDIAM,1,413.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,BOSSOLEL WOLOF,1,559.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,BOSSOLEL WOLOF,2,45.0,SALLE DE CLASSE
BIRKILANE,TOUBA MBELLA,ECOLE GORIA MBANDE,1,228.0,SALLE DE CLASSE
BIRKILANE,TOUBA MBELLA,GAWANE DJIDA,1,466.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,KANKA,1,384.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,NDIOUNDIA 1,1,140.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,TIVAOUANE LIVE,1,217.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,TOUBA MBELLA,1,573.0,ECOLE SALLE 1
BIRKILANE,TOUBA MBELLA,TOUBA MBELLA,2,572.0,ECOLE SALLE 2
BIRKILANE,TOUBA MBELLA,WEYNDE,1,542.0,ECOLE SALLE 1
