REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,01,534,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,02,532,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,03,533,SALLE DE CLASSE
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE ABDOUL AZIZ BOUSSO,04,534,SALLE DE CLASSE
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,01,409,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,02,409,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE MOR KHOUDIA SY,03,408,SALLE 3
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,01,358,SALLE 1
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,02,360,SALLE 2
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,03,359,SALLE 3
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,04,360,SALLE 4
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,05,359,SALLE 5
KAFFRINE,BIRKILANE,BIRKILANE,ECOLE THIANDELLA FALL,06,358,SALLE 6
KAFFRINE,BIRKILANE,DIAMAL,DIAMAL,01,517,ECOLE SALLE 1
KAFFRINE,BIRKILANE,DIAMAL,DIAMAL,02,517,ECOLE SALLE 2
KAFFRINE,BIRKILANE,DIAMAL,DIAMAL,03,516,SALLE DE CLASSE
KAFFRINE,BIRKILANE,DIAMAL,ECOLE ELEMENTAIRE GAMA,01,498,SALLE DE CLASSE
KAFFRINE,BIRKILANE,DIAMAL,ECOLE FRANCO-ARABE KEUR ISMAILA,01,452,SALLE DE CLASSE
KAFFRINE,BIRKILANE,DIAMAL,ECOLE KEBE GOUYE,01,427,SALLE DE CLASSE
KAFFRINE,BIRKILANE,DIAMAL,ECOLE NGORDJILENE MOURIDE,01,314,SALLE DE CLASSE
KAFFRINE,BIRKILANE,DIAMAL,FASS MAKHTAR,01,228,ABRI PROVISOIRE
