DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,BOULEL,ALLOUCKI TERRES NEUVES,1,571.0,ECOLE SALLE 1
KAFFRINE,BOULEL,ALLOUCKI TERRES NEUVES,2,127.0,ECOLE SALLE 2
KAFFRINE,BOULEL,BOULEL,1,551.0,ECOLE SALLE 1
KAFFRINE,BOULEL,BOULEL,2,551.0,ECOLE SALLE 2
KAFFRINE,BOULEL,BOULEL,3,551.0,ECOLE SALLE 3
KAFFRINE,BOULEL,BOULEL,4,551.0,SALLE DE CLASSE
KAFFRINE,BOULEL,DIAKHAO SALOUM,1,502.0,ECOLE SALLE 1
KAFFRINE,BOULEL,DIAKHAO SALOUM,2,503.0,ECOLE SALLE 2
KAFFRINE,BOULEL,DIOUT NGUEL,1,424.0,ECOLE SALLE 1
KAFFRINE,BOULEL,DIOUT NGUEL,2,348.0,SALLE DE CLASSE
KAFFRINE,BOULEL,FASS GOULOUKOUM,1,257.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,GOULOKOUM,1,493.0,ECOLE SALLE 1
KAFFRINE,BOULEL,HORE,1,410.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,KHENDE,1,547.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,KHENDE,2,276.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,KOUYANE,1,579.0,ECOLE SALLE 1
KAFFRINE,BOULEL,LAHI,1,222.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,LANEL,1,299.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,MEDINA KEBE TERRES NEUVES,1,390.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,SEMA 3,1,310.0,ECOLE SALLE 1
KAFFRINE,BOULEL,TAIF SALOUM,1,223.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,TORODO,1,417.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,TOUBA SALOUM,1,403.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,TOUBA TAGOUM,1,100.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,TOUBA TAWFEKHE,1,342.0,ABRI PROVISOIRE
KAFFRINE,BOULEL,VARKERE,1,218.0,ABRI PROVISOIRE
