DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,DIAMAGADIO,BAMBALI,1,326,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,DANKOU,1,296,ECOLE SALLE 01
KAFFRINE,DIAMAGADIO,DANKOU,2,296,ECOLE SALLE 02
KAFFRINE,DIAMAGADIO,DIAMAGADIO,1,585,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,DIAMAGADIO,2,582,ECOLE SALLE 2
KAFFRINE,DIAMAGADIO,DIAMAGADIO,3,584,ECOLE SALLE 3
KAFFRINE,DIAMAGADIO,DIAMAGADIO,4,207,ECOLE SALLE 4
KAFFRINE,DIAMAGADIO,ECOLE ARABE MEDINA DIERY,1,239,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,ECOLE ELEMENTAIRE LOUBA,1,582,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,ECOLE WINTINKOU,1,273,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,GOUYE MADI BOURI,1,300,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,HAMDALLAYE,1,313,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KAYFARA SANTHIE,1,425,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR MALLE,1,235,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR NDIANGANE,1,309,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR NDIANGANE,2,308,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MAGASIN KANOUMA MBOYENE,1,189,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MAKA ANDALLAH,1,218,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MEO NDIAWENE,1,563,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,NDAKHAR PEULH,1,193,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,NDANKH,1,306,ECOLE SALLE 01
KAFFRINE,DIAMAGADIO,NDIAO BAMBALI,1,573,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,PASSY NDIALAKH,1,217,ABRI PROVISOIRE
