DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,DIOKOUL MBELBOUCK,DIOKOUL MBELBOUCK,1,561,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,DIOKOUL MBELBOUCK,2,557,ECOLE SALLE 2
KAFFRINE,DIOKOUL MBELBOUCK,DIOKOUL MBELBOUCK,3,561,ECOLE SALLE 3
KAFFRINE,DIOKOUL MBELBOUCK,DIOKOUL MBELBOUCK,4,270,ECOLE SALLE 4
KAFFRINE,DIOKOUL MBELBOUCK,DIOLI MANDAKH,1,448,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,DIOLI MANDAKH,2,448,ECOLE SALLE 2
KAFFRINE,DIOKOUL MBELBOUCK,DIOLI MANDAKH,3,448,ECOLE SALLE 3
KAFFRINE,DIOKOUL MBELBOUCK,KOUTHIA,1,401,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,KOUTHIA,2,402,SALLE DE CLASSE
KAFFRINE,DIOKOUL MBELBOUCK,MAGASIN DAROU MANDAKH,1,253,MAGASIN
KAFFRINE,DIOKOUL MBELBOUCK,MAGASIN W. MEDINA DIOKOUL,1,327,MAGASIN
KAFFRINE,DIOKOUL MBELBOUCK,MARA,1,425,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,MBOUL,1,271,SALLE DE CLASSE
KAFFRINE,DIOKOUL MBELBOUCK,MEDINA TEMEGNE,1,441,ABRI PROVISOIRE
KAFFRINE,DIOKOUL MBELBOUCK,MEO NDIOBENE,1,374,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,MEO NDIOBENE,2,374,ECOLE SALLE 2
KAFFRINE,DIOKOUL MBELBOUCK,NGUER MANDAKH,1,549,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,NGUER MANDAKH,2,548,ECOLE SALLE 2
KAFFRINE,DIOKOUL MBELBOUCK,SAME,1,442,ECOLE SALLE 1
KAFFRINE,DIOKOUL MBELBOUCK,SAME,2,441,ECOLE SALLE 2
KAFFRINE,DIOKOUL MBELBOUCK,TEMEGNE,1,582,ECOLE SALLE 01
KAFFRINE,DIOKOUL MBELBOUCK,TOUNE MANDAKH,1,384,ECOLE SALLE 1
