DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,GNIBY,BIT NGUEL,1,137,ABRI PROVISOIRE
KAFFRINE,GNIBY,BONDIE,1,538,ECOLE SALLE 1
KAFFRINE,GNIBY,BONDIE,2,537,ECOLE SALLE 2
KAFFRINE,GNIBY,DAROU SALAM,1,510,ABRI PROVISOIRE
KAFFRINE,GNIBY,DIOUMADA,1,329,ABRI PROVISOIRE
KAFFRINE,GNIBY,ECOLE DE MBEGUE,1,420,SALLE 1
KAFFRINE,GNIBY,ECOLE DE MBEGUE,2,420,SALLE 2
KAFFRINE,GNIBY,ECOLE GNIBI,1,573,SALLE 1
KAFFRINE,GNIBY,ECOLE GNIBI,2,574,SALLE 2
KAFFRINE,GNIBY,ECOLE GNIBI,3,574,SALLE DE CLASSE
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,1,351,SALLE 1
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,2,352,FOYER DES JEUNES DE GNIBY
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,3,350,SALLE 2
KAFFRINE,GNIBY,KEBE YARA,1,254,ABRI PROVISOIRE
KAFFRINE,GNIBY,LAMBAYE,1,272,ABRI PROVISOIRE
KAFFRINE,GNIBY,PANAL MBAYARD,1,403,ABRI PROVISOIRE
KAFFRINE,GNIBY,TABA,1,191,ABRI PROVISOIRE
KAFFRINE,GNIBY,THIONE,1,484,ECOLE SALLE 1
