DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,KAFFRINE,ECOLE 1,1,585,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,2,586,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,3,579,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,4,584,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,5,584,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,6,577,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,7,579,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,8,515,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,9,423,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,10,423,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 2,1,554,SALLE CM2A
KAFFRINE,KAFFRINE,ECOLE 2,2,555,SALLE CM1A
KAFFRINE,KAFFRINE,ECOLE 2,3,555,SALLE CE2 A
KAFFRINE,KAFFRINE,ECOLE 2,4,555,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 2,5,555,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,1,595,SALLE 01
KAFFRINE,KAFFRINE,ECOLE 4,2,595,SALLE 03
KAFFRINE,KAFFRINE,ECOLE 4,3,596,SALLE 05
KAFFRINE,KAFFRINE,ECOLE 4,4,595,SALLE 07
KAFFRINE,KAFFRINE,ECOLE 4,5,595,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,6,595,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,7,596,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,1,572,SALLE SAMBA KHARY CISSE
KAFFRINE,KAFFRINE,ECOLE 5,2,572,SALLE MODOU BORANE
KAFFRINE,KAFFRINE,ECOLE 5,3,572,SALLE WALY THIOBANE
KAFFRINE,KAFFRINE,ECOLE 5,4,573,SALLE ALY SEGNANE
KAFFRINE,KAFFRINE,ECOLE 5,5,571,SALLE ELHADJI OMAR THIAM
KAFFRINE,KAFFRINE,ECOLE 5,6,571,SALLE ELHADJI KEBA MBOUP
KAFFRINE,KAFFRINE,ECOLE 5,7,572,SALLE ELHADJI IBOU GAYE
KAFFRINE,KAFFRINE,ECOLE 5,8,572,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,9,571,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,10,570,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,11,571,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,12,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,13,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,14,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,15,573,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,1,580,SALLE CM1 A
KAFFRINE,KAFFRINE,ECOLE 6,2,578,SALLE CE2A
KAFFRINE,KAFFRINE,ECOLE 6,3,575,SALLE CE2B
KAFFRINE,KAFFRINE,ECOLE 6,4,578,SALLE CM2A
KAFFRINE,KAFFRINE,ECOLE 6,5,574,SALLE CIA
KAFFRINE,KAFFRINE,ECOLE 6,6,565,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,7,559,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,8,566,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,9,548,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,10,549,ECOLE 3 SALLE DE CLASSE
