DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,KAHI,DIAGLE,1,394,ABRI PROVISOIRE
KAFFRINE,KAHI,DIOGO,1,145,ABRI PROVISOIRE
KAFFRINE,KAHI,DJIDAH 2,1,404,ECOLE SALLE 1
KAFFRINE,KAHI,HAFFE TIDIANE,1,417,ECOLE SALLE 1
KAFFRINE,KAHI,HAFFE TIDIANE,2,417,ECOLE SALLE 2
KAFFRINE,KAHI,KAHI,1,556,ECOLE SALLE 1
KAFFRINE,KAHI,KAHI,2,555,ECOLE SALLE 2
KAFFRINE,KAHI,KASSAS LODOYEL,1,326,ABRI PROVISOIRE
KAFFRINE,KAHI,LOUGUE OUOLOF,1,385,ECOLE SALLE 1
KAFFRINE,KAHI,NDJIGUI,1,446,ABRI PROVISOIRE
KAFFRINE,KAHI,NDODJE,1,431,ECOLE SALLE 1
KAFFRINE,KAHI,NGODIBO,1,480,ECOLE SALLE 1
KAFFRINE,KAHI,NGODIBO,2,480,ECOLE SALLE 2
KAFFRINE,KAHI,NGODIBO,3,479,ECOLE SALLE 3
KAFFRINE,KAHI,NIANGHENE OUOLOF,1,207,ABRI PROVISOIRE
KAFFRINE,KAHI,PETE,1,324,ABRI PROVISOIRE
KAFFRINE,KAHI,SANGOL OUOLOF,1,259,ABRI PROVISOIRE
KAFFRINE,KAHI,SIKILO,1,247,ECOLE SALLE 1
KAFFRINE,KAHI,SOROCOGNE,1,421,ECOLE SALLE 1
KAFFRINE,KAHI,SOROCOGNE,2,421,ECOLE SALLE 2
KAFFRINE,KAHI,TOUNE,1,567,ECOLE SALLE 1
KAFFRINE,KAHI,TOUNE,2,566,ECOLE SALLE 2
KAFFRINE,KAHI,TOUNE,3,107,ECOLE SALLE 3
