DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,FASS THIEKENE,DAROU FANA,1,280,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,DAROU MBAYENE,1,278,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,DOUBEL GUEDE,1,380,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,FASS THIECKENE,1,524,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,FASS THIECKENE,2,525,SALLE DE CLASSE
KOUNGHEUL,FASS THIEKENE,KEUR ABDOULAYE FANTA,1,567,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,KEUR ABDOULAYE FANTA,2,65,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,KEUR OMAR BOUNE,1,259,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,KEUR SERIGNE DIEBEL,1,588,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,KOUNGHEUL SOCE,1,519,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,KOUNO BABOU NGUETH,1,309,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MAKA KATAL,1,256,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA FASS,1,207,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA TAHIROU,1,487,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA TAHIROU,2,147,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,MINAME,1,409,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,MINAME,2,314,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,MISSIRAH KOUTHIAM,1,314,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MISSIRAH THIECKENE,1,56,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,PIRAME,1,310,MAGASIN
KOUNGHEUL,FASS THIEKENE,PIRAME,2,310,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,SAME DIEBEL,1,560,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,SANTHIE PATHE,1,147,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,TOBENE MALICK,1,471,CASE DE SANTE
