DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,IDA MOURIDE,DAROU OUOLOF,1,571.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,DIOUNTO NGUEYENE,1,248.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,DOUBA LAMPOUR,1,389.0,ECOLE SALLE 1
KOUNGHEUL,IDA MOURIDE,DOUBA LAMPOUR,2,390.0,CP ECOLE ELEMENTAIRE
KOUNGHEUL,IDA MOURIDE,FASS DIEBEL,1,453.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,HAMDALAYE THIAMENE,1,128.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,HARAFA MBAYENE,1,289.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,1,543.0,ECOLE SALLE 1
KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,2,533.0,MAISON COMMUNAUTAIRE
KOUNGHEUL,IDA MOURIDE,IDA MOURIDE,3,415.0,ECOLE SALLE 3
KOUNGHEUL,IDA MOURIDE,IDA NDAVENE,1,473.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,KEUR NGAYE,1,587.0,ECOLE SALLE 1
KOUNGHEUL,IDA MOURIDE,KEUR NGAYE,2,69.0,ECOLE SALLE 2
KOUNGHEUL,IDA MOURIDE,KHOURDANE,1,382.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,MISSIRAH OMAR SARR,1,140.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,NDOUNE,1,499.0,SALLE 2
KOUNGHEUL,IDA MOURIDE,NDOUNE,2,499.0,SALLE DE CLASSE
KOUNGHEUL,IDA MOURIDE,NGOUYE SIVAKH,1,142.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,PIRE NANGO,1,509.0,ECOLE SALLE 1
KOUNGHEUL,IDA MOURIDE,PIRE NANGO,2,99.0,ECOLE SALLE 2
KOUNGHEUL,IDA MOURIDE,PIRE NDAVENE,1,411.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,SIBINOKHO,1,147.0,ABRI PROVISOIRE
KOUNGHEUL,IDA MOURIDE,TOUBA GOUYE,1,308.0,ABRI PROVISOIRE
