DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,KOUNGHEUL,ECOLE 1,1,577.0,CLASSE CM 1 B
KOUNGHEUL,KOUNGHEUL,ECOLE 1,2,576.0,SALLE 2
KOUNGHEUL,KOUNGHEUL,ECOLE 1,3,578.0,SALLE DE CLASSE
KOUNGHEUL,KOUNGHEUL,ECOLE 1,4,578.0,CM2 B
KOUNGHEUL,KOUNGHEUL,ECOLE 2,1,330.0,CLASSE C E 1
KOUNGHEUL,KOUNGHEUL,ECOLE 2,2,328.0,CE1A
KOUNGHEUL,KOUNGHEUL,ECOLE 3,1,563.0,SALLE 1
KOUNGHEUL,KOUNGHEUL,ECOLE 3,2,570.0,SALLE 2
KOUNGHEUL,KOUNGHEUL,ECOLE 3,3,559.0,CM 1 A
KOUNGHEUL,KOUNGHEUL,ECOLE 3,4,570.0,SALLE 4
KOUNGHEUL,KOUNGHEUL,ECOLE 3,5,570.0,SALLE 5
KOUNGHEUL,KOUNGHEUL,ECOLE 3,6,557.0,ECOLE 3 SALLE DE CLASSE
KOUNGHEUL,KOUNGHEUL,ECOLE 3,7,570.0,ECOLE 3 SALLE DE CLASSE
KOUNGHEUL,KOUNGHEUL,ECOLE 3,8,564.0,ECOLE 3 SALLE DE CLASSE
KOUNGHEUL,KOUNGHEUL,ECOLE 3,9,566.0,CLASSE CM1 B
KOUNGHEUL,KOUNGHEUL,ECOLE 3,10,495.0,SALLE DE CLASSE
KOUNGHEUL,KOUNGHEUL,ECOLE 4,1,592.0,SALLE 1
KOUNGHEUL,KOUNGHEUL,ECOLE 4,2,591.0,SALLE 2
KOUNGHEUL,KOUNGHEUL,ECOLE 4,3,591.0,SALLE 3
KOUNGHEUL,KOUNGHEUL,ECOLE 4,4,590.0,CE2 A
KOUNGHEUL,KOUNGHEUL,ECOLE 5,1,583.0,CLASSE CM1 A
KOUNGHEUL,KOUNGHEUL,ECOLE 5,2,584.0,CLASSE CP B
KOUNGHEUL,KOUNGHEUL,ECOLE 5,3,582.0,CLASSE CI B
KOUNGHEUL,KOUNGHEUL,ECOLE 5,4,582.0,CLASSE CM1 B
KOUNGHEUL,KOUNGHEUL,ECOLE 5,5,582.0,CLASSE CE1 A
