DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,NGAINTHE PATE,BOULEL DEMBA BA,1,226,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,NGAINTHE PATE,DAROU KHADIM,1,223,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,DAROU MOUSSA,1,158,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,DIOULMACK,1,126,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,FASS THIOYENE,1,149,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,GAINTE PATHE,1,596,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,GAINTE PATHE,2,595,ECOLE SALLE 2
KOUNGHEUL,NGAINTHE PATE,KANDIANE,1,327,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,LOUMBOL,1,338,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,MEDINA FASS,1,116,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,MEDINA NDIAYENE,1,331,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,MEDINA SAMBENE,1,465,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,MISSIRAH THIOYENE,1,466,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,NGOUYE DIERI,1,372,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,NGOUYE DIERI,2,372,ECOLE SALLE 2
KOUNGHEUL,NGAINTHE PATE,SIDACK,1,462,ECOLE SALLE 1
KOUNGHEUL,NGAINTHE PATE,THIEPPE,1,328,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,NGAINTHE PATE,THIOBE NDIOUFENE,1,321,ABRI PROVISOIRE
KOUNGHEUL,NGAINTHE PATE,THIOYENE,1,190,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,NGAINTHE PATE,TOUBA ALIE,1,492,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,NGAINTHE PATE,YESSI,1,302,ECOLE ELEMENTAIRE SALLE 1
