DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MALEM HODAR,DAROU MINAM,DAROU MINAME 2,1,517.0,ECOLE SALLE 1
MALEM HODAR,DAROU MINAM,DAROU MINAME 2,2,517.0,ECOLE SALLE 2
MALEM HODAR,DAROU MINAM,DAROU MINAME 2,3,516.0,ECOLE SALLE 3
MALEM HODAR,DAROU MINAM,DIAGA KEUR SERIGNE NIANG,1,529.0,ECOLE SALLE 1
MALEM HODAR,DAROU MINAM,ECOLE ELEMENTAIRE DE DEPE,1,194.0,SALLE 1
MALEM HODAR,DAROU MINAM,KHAYRA 2,1,344.0,ECOLE SALLE 1
MALEM HODAR,DAROU MINAM,KHAYRA 2,2,345.0,ECOLE SALLE 2
MALEM HODAR,DAROU MINAM,KHELCOM DIAGA,1,452.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,KHELCOM DIAGA,2,453.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,MBABANE MOURIDE,1,583.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,MBABANE MOURIDE,2,188.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,MEDINA FALL DIAGA,1,465.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,MEDINA MBAYENE,1,232.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,TOUBA MINAM,1,318.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,TOUBA NDIENE,1,281.0,ABRI PROVISOIRE
MALEM HODAR,DAROU MINAM,VADIOUR HABATH,1,201.0,ABRI PROVISOIRE
