DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MALEM HODAR,DJANKE SOUF,ALLOUCKI NDOUCOUMANE,1,169,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,BODE,1,174,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,BOULEYDA,1,126,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,DELBI,1,578,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,DELBI,2,33,ECOLE SALLE 2
MALEM HODAR,DJANKE SOUF,DIACKSAO SALOUM,1,156,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,DIANKE KAO,1,215,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,DIANKE SOUF,1,514,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,DIANKE SOUF,2,182,ECOLE SALLE 2
MALEM HODAR,DJANKE SOUF,ECOLE NGHABA,1,416,SALLE 1
MALEM HODAR,DJANKE SOUF,ECOLE NGHABA,2,416,SALLE 2
MALEM HODAR,DJANKE SOUF,GOUBI,1,200,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,HAMDALAYE DELHI,1,199,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,MBABANENE,1,345,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,MEDINA DIANKE,1,529,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,MEDINA SYENE,1,409,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,MEDINA SYENE,2,401,ECOLE SALLE 3
MALEM HODAR,DJANKE SOUF,NAVARENE,1,453,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,NDIOTE BIRAM,1,134,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,NDIOTE MOR COUMBA,1,151,ECOLE SALLE 1
MALEM HODAR,DJANKE SOUF,NDIOTE SEANE,1,186,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,TIP SALOUM,1,556,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,TIP SALOUM,2,42,ECOLE SALLE 2
MALEM HODAR,DJANKE SOUF,TIP SALOUM,3,42,ECOLE SALLE 3
MALEM HODAR,DJANKE SOUF,TOUBA MBAYENE,1,307,ABRI PROVISOIRE
MALEM HODAR,DJANKE SOUF,WANDE,1,380,ECOLE SALLE 1
