DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MALEM HODAR,NDIOUM NGAINTHE,BELAL NDENDOGUI,1,350.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,DAROU MBANE,1,350.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE BOGUEL,1,109.0,SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE LEWE,1,263.0,SALLE 3
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,1,505.0,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,2,497.0,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,3,491.0,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,4,483.0,CLASSE CI
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE TOUBA FALL,1,201.0,SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,ECOLE FRANCO ARABE DAROU NIANG,1,147.0,SALLE 3
MALEM HODAR,NDIOUM NGAINTHE,KHOUROU LOUMBE,1,331.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,MBANE,1,269.0,ECOLE SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,MEDINA NDIAYENE,1,185.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,SANTHIE EL HADJ MAFAYE,1,142.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,TAIF NDIOUM,1,371.0,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,THIOYI NDIOUM,1,364.0,ABRI PROVISOIRE
