DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,KHELCOM BIRAME,BACK SAMBA DIOR,1,261.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,KHELCOM BIRAME,DAGA SAMBARE,1,180.0,CLASSE CP ECOLE ELEMENTAIRE
GUINGUINEO,KHELCOM BIRAME,DAROU BACK,1,262.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,KHELCOM BIRAME,DIAGLE NGOR,1,366.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,KHAYOKHE,1,401.0,ECOLE PUBLIQUESALLE N1
GUINGUINEO,KHELCOM BIRAME,KHELCOM,1,442.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,KHELCOM,2,442.0,SALLE 2
GUINGUINEO,KHELCOM BIRAME,NDOFFANE COLY,1,360.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,NDOFFANE TANEWAR,1,199.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,NGUEKOKH,1,534.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,KHELCOM BIRAME,NGUEKOKH,2,156.0,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,KHELCOM BIRAME,SAME,1,148.0,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,KHELCOM BIRAME,SATE WALI,1,356.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,THIAKALAR,1,373.0,CLASSE CE 2 ECOLE ELEMENTAIRE
GUINGUINEO,KHELCOM BIRAME,THIAKALAR,2,373.0,SALLE DE CLASSE CM2
GUINGUINEO,KHELCOM BIRAME,THIOLONGANE,1,105.0,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,KHELCOM BIRAME,WARDIAKHAL,1,369.0,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,KHELCOM BIRAME,WARDIAKHAL,2,370.0,SALLE DE CLASSE
