DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,NDIAGO,DAROU DIADJI,1,267,ECOLE ELEMENTAIRE
GUINGUINEO,NDIAGO,MAKA MBAYE,1,208,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NDELLE,1,424,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDELLE,2,424,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,NDIAGO,NDIAGNE KAHONE,1,289,ECOLE PUBMIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDIAGO,1,594,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDIAGO,2,593,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,NDIAGO,NDIAGO,3,593,ECOLE PUBLIQUE SALLE N° 3
GUINGUINEO,NDIAGO,NDIOLOFENE,1,167,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NGARE DIA,1,120,PHARMACIE VILLAGE
GUINGUINEO,NDIAGO,NGARE KEUR AMADOU YACINE,1,237,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NGAR KEUR MADIENG,1,270,CASE DE SANTE
GUINGUINEO,NDIAGO,SAKHAGNE KEUR BIRANE,1,394,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,WENDOU GNIVA,1,213,ECOLE PUBLIQUE SALLE N1
