DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,NGAGNICK,ATHIOU SAMBA FAYE,1,368.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK GOUREYE,1,437.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK HALTE,1,340.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK KHODJIL,1,443.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK KHODJIL,2,442.0,SALLE CLASSE
GUINGUINEO,NGAGNICK,KEUR KABOU,1,318.0,ABRI PROVISOIRE
GUINGUINEO,NGAGNICK,MEO MEO,1,520.0,ECOLE ARABE
GUINGUINEO,NGAGNICK,NDINGLERE,1,411.0,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,NDINGLERE TAOFEKHE,1,205.0,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NGAGNICK,TIBOU,1,493.0,ECOLE PUBLIQUE SALLE N° 1
