DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,OUROUR,COLOBANE LAMBAYE,1,384,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,GOWETHIE SERERE,1,351,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,GOWETHIE WADENE,1,340,CLASSE CP ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,KEUR YERI CISSE,1,189,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,LAMBOCK,1,581,CLASSE CE 2 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KEUR DIEGANE THIARE,1,528,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KEUR MIGNANE,1,268,CLASSE CE 2 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KOUTA,1,367,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KOUTA,2,367,CLASSE CE2
GUINGUINEO,OUROUR,OUROUR,1,398,CLASSE CM 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,OUROUR,2,398,SALLE DE CLASSE CP
GUINGUINEO,OUROUR,SOUMBEL,1,438,CLASSE CP ECOLE ELEMENTAIRE
