DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,PANAL WOLOF,AYNOUMANE MEDINA,1,93.0,ECOLE ARABE
GUINGUINEO,PANAL WOLOF,DIACK SAO KOUTA,1,228.0,ECOLE SALLE 1
GUINGUINEO,PANAL WOLOF,DIAMVELI MOR,1,240.0,ECOLE ELEMENTAIRE
GUINGUINEO,PANAL WOLOF,DIATMEL SAER,1,295.0,ECOLE SALLE 1
GUINGUINEO,PANAL WOLOF,MBOSS BALLO OUOLOFF,1,246.0,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,PANAL WOLOF,MBOULOGNE DIAVANDO,1,347.0,ECOLE ARABE SALLE 1
GUINGUINEO,PANAL WOLOF,MBOULOGNE MADEMBA,1,198.0,BUREAU ASUFOR
GUINGUINEO,PANAL WOLOF,MBOULOGNE SENO OUOLOF,1,197.0,ECOLE ELEMENTAIRE
GUINGUINEO,PANAL WOLOF,PANAL,1,376.0,ECOLE SALLE 1
GUINGUINEO,PANAL WOLOF,PANAL SERERE,1,187.0,ECOLE ARABE
GUINGUINEO,PANAL WOLOF,PANAL THIARENE,1,419.0,ECOLE ARABE
GUINGUINEO,PANAL WOLOF,SANTHIOU THIENEBA,1,213.0,ECOLE ARABE
