REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,GUINGUINEO,DARA MBOSS,DARA DIACKE,1,523,ECOLE SALLE 1
KAOLACK,GUINGUINEO,DARA MBOSS,DARA MBOSS,1,454,CASE DES TOUT-PETITS
KAOLACK,GUINGUINEO,DARA MBOSS,DARA THISSE,1,366,MUTUELLE DE SANTE
KAOLACK,GUINGUINEO,DARA MBOSS,MBOSSEDJI BARA,1,377,ECOLE SALLE 1
KAOLACK,GUINGUINEO,DARA MBOSS,NDAWENE,1,227,ECOLE SALLE 1
KAOLACK,GUINGUINEO,DARA MBOSS,PETEIGNE,1,97,ECOLE ARABE
KAOLACK,GUINGUINEO,DARA MBOSS,THIADIA MBOSS,1,293,ECOLE SALLE 1
KAOLACK,GUINGUINEO,DARA MBOSS,YOUGOURE MASS,1,393,ECOLE SALLE 1
KAOLACK,GUINGUINEO,FASS,FASS KANE,1,580,CLASSE CE 2 ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,FASS,FASS KANE,2,579,CLASSE CM 1 ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,FASS,FASS KANE,3,582,CLASSE CM2 A ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,FASS,FASS KANE,4,164,CLASSE CE1 ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,FASS,FASS KOFFE,1,529,EFA SALLE N1
KAOLACK,GUINGUINEO,FASS,FASS KOFFE,2,308,EFA SALLE N2
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,1,580,CLASSE CP A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,2,580,CM1A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,3,581,CM2A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,4,580,CI 2
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,1,576,CE 2
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,2,575,CE 1
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,3,575,CI A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,4,576,CM1 B
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE FARABOUGOU,1,450,CE 2
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,1,587,CLASSE CE 1 B
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,2,587,CM1 A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,3,587,CE2 A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,4,587,CP A
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,5,587,CP B
KAOLACK,GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,6,587,CM2 B
KAOLACK,GUINGUINEO,GUINGUINEO,MAIRIE,1,552,ECOLE MATERNELLE (P S1)
KAOLACK,GUINGUINEO,GUINGUINEO,MAIRIE,2,550,ECOLE MATERNELLE (P SECTION) 2
KAOLACK,GUINGUINEO,GUINGUINEO,MAIRIE,3,544,ECOLE MATERNELLE (G SECTION) 1
KAOLACK,GUINGUINEO,GUINGUINEO,MAIRIE,4,470,ECOLE MATERNELLE (M S)
KAOLACK,GUINGUINEO,GUINGUINEO,MAIRIE,5,469,ECOLE MATERNELLE (G S2)
KAOLACK,GUINGUINEO,KHELCOM BIRAME,BACK SAMBA DIOR,1,261,ECOLE PUBLIQUE SALLE N° 1
KAOLACK,GUINGUINEO,KHELCOM BIRAME,DAGA SAMBARE,1,180,CLASSE CP ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,KHELCOM BIRAME,DAROU BACK,1,262,ECOLE PUBLIQUE SALLE N° 1
KAOLACK,GUINGUINEO,KHELCOM BIRAME,DIAGLE NGOR,1,366,ECOLE PUBLIQUE SALLE N 1
KAOLACK,GUINGUINEO,KHELCOM BIRAME,KHAYOKHE,1,401,ECOLE PUBLIQUESALLE N1
KAOLACK,GUINGUINEO,KHELCOM BIRAME,KHELCOM,1,442,ECOLE PUBLIQUE SALLE N 1
KAOLACK,GUINGUINEO,KHELCOM BIRAME,KHELCOM,2,442,SALLE 2
KAOLACK,GUINGUINEO,KHELCOM BIRAME,NDOFFANE COLY,1,360,ECOLE PUBLIQUE SALLE N 1
