DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,KAHONE,ECOLE ELEMENTAIRE FASS KAHONE,1,522,CM1
KAOLACK,KAHONE,ECOLE ELEMENTAIRE FASS KAHONE,2,513,CM2 A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE FASS KAHONE,3,485,CP
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,1,592,CM2 A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,2,592,CM1 A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,3,592,CP A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,4,592,CE1 A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,5,593,CM 2B
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,6,592,CI A
KAOLACK,KAHONE,ECOLE ELEMENTAIRE KAHONE 1,7,592,CI B
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,1,557,CI A
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,2,556,CP A
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,3,557,CM2 A
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,4,557,CM2 B
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,5,557,CM1 A
KAOLACK,KAHONE,ECOLE KANDA FODE BAYO,6,557,CM1 B
