DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,1,586,SALLE EFS 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,2,586,SALLE EFS 3
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,3,586,SALLE SP 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,4,585,SALLE ET 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,5,585,SALLE ET 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,6,585,SALLE ET 3
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,7,585,SALLE SVT 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,8,586,SALLE SVT 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,9,585,SALLE SVT 3
KAOLACK,KAOLACK,BONGRE 1,1,569,SALLE1
KAOLACK,KAOLACK,BONGRE 1,2,568,SALLE 2
KAOLACK,KAOLACK,BONGRE 1,3,568,SALLE3
KAOLACK,KAOLACK,BONGRE 1,4,568,SALLE 4
KAOLACK,KAOLACK,BONGRE 1,5,569,SALLE 5
KAOLACK,KAOLACK,BONGRE 1,6,569,SALLE 6
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,1,524,SALLE 4
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,2,523,SALLE 5
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,3,524,SALLE 6
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,4,524,SALLE S A
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,5,523,SALLE SB
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,6,523,SALLE 13
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,7,524,SALLE 3
KAOLACK,KAOLACK,COURS PRIVE DIONGUE,1,137,CM2
KAOLACK,KAOLACK,COURS PRIVE DIONGUE,2,137,CE2
KAOLACK,KAOLACK,ECOLE ABDOU KHADRE KEBE,1,444,CM2
KAOLACK,KAOLACK,ECOLE ABDOU KHADRE KEBE,2,444,CM1
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,1,568,CM2 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,2,572,CM2 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,3,574,CM1 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,4,569,CM1 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,5,564,CE2 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,6,564,CE2 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,7,566,CE1 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,8,573,CE1 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,9,559,CP A
