DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,KEUR SOCE,BATTARA OUOLOF,1,240.0,CLASSE CE2
KAOLACK,KEUR SOCE,DABANE,1,414.0,CLASSE CM1
KAOLACK,KEUR SOCE,DAGA SAMBOU,1,588.0,CLASSE CM2
KAOLACK,KEUR SOCE,DAGA SAMBOU,2,118.0,CLASSE CP
KAOLACK,KEUR SOCE,GNILIGNE GOUMACK,1,474.0,CLASSE CM1
KAOLACK,KEUR SOCE,KACOTHIE,1,498.0,CLASSE CM1
KAOLACK,KEUR SOCE,KEUR KOUTHIEYE,1,580.0,CLASSE CM1
KAOLACK,KEUR SOCE,KEUR NIENE OUOLOF,1,264.0,ABRI PROVISOIRE
KAOLACK,KEUR SOCE,KEUR PATHE MALICK,1,519.0,CLASSE CE2
KAOLACK,KEUR SOCE,KEUR SOCE,1,563.0,CLASSE CE2 A
KAOLACK,KEUR SOCE,KEUR SOCE,2,564.0,CLASSE CE1A
KAOLACK,KEUR SOCE,KEUR SOCE,3,558.0,SALLE DE CLASSE
KAOLACK,KEUR SOCE,KEUR SOCE,4,151.0,CE1 B
KAOLACK,KEUR SOCE,LAMARAME,1,558.0,CLASSE CM1
KAOLACK,KEUR SOCE,MBOUMA,1,579.0,CLASSE CM1
KAOLACK,KEUR SOCE,NDIAGUENE,1,249.0,CLASSE CM1
KAOLACK,KEUR SOCE,NDIOUFFENE PERETHIE,1,499.0,ECOLE FRANCO ARABE
KAOLACK,KEUR SOCE,NGUINDOR,1,446.0,CLASSE CM1
KAOLACK,KEUR SOCE,NIAPPA SANTHIE,1,169.0,CLASSE CE2
KAOLACK,KEUR SOCE,SAGNANEME,1,377.0,CLASSE CM1
KAOLACK,KEUR SOCE,SAMA NDIAYENE,1,390.0,CLASSE CE1
KAOLACK,KEUR SOCE,SAMA TOUCOULEUR,1,289.0,CLASSE CE2
KAOLACK,KEUR SOCE,THIAMENE SAMBA RAMATA,1,215.0,CLASSE CP
KAOLACK,KEUR SOCE,THIAMENE TABA,1,557.0,CLASSE C E 2
KAOLACK,KEUR SOCE,THIARENE MOMATH,1,263.0,CLASSE CE2
