DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,NDIAFFATE,BANDOULOU TOUCOULEUR,1,558.0,CLASSE CP
KAOLACK,NDIAFFATE,BANDOULOU TOUCOULEUR,2,145.0,CLASSE CE1
KAOLACK,NDIAFFATE,BANE SAMANE,1,586.0,CLASSE CM1
KAOLACK,NDIAFFATE,BANE SAMANE,2,37.0,CI
KAOLACK,NDIAFFATE,BILL BAMBARA,1,572.0,CLASSE CM1
KAOLACK,NDIAFFATE,BILL BAMBARA,2,79.0,CLASSE CM2
KAOLACK,NDIAFFATE,BOULDIABE BOUMACK,1,547.0,CLASSE CE 2
KAOLACK,NDIAFFATE,BOULDIABE BOUMACK,2,148.0,CLASSE CM1
KAOLACK,NDIAFFATE,DINGUIRAYE YOUSSOUPH,1,397.0,CLASSE CM 1
KAOLACK,NDIAFFATE,KEUR LASSANA,1,589.0,ABRI PROVISOIRE
KAOLACK,NDIAFFATE,KOSSI MBITEYENE,1,390.0,CLASSE CE 1
KAOLACK,NDIAFFATE,KOSSI MBITEYENE,2,390.0,CLASSE CM 2
KAOLACK,NDIAFFATE,KOUTAL,1,547.0,CLASSE CM 1A
KAOLACK,NDIAFFATE,KOUTAL,2,547.0,CLASSE CI A
KAOLACK,NDIAFFATE,KOUTAL,3,547.0,CLASSE CM 2A
KAOLACK,NDIAFFATE,KOUTAL,4,547.0,CLASSE CE 1A
KAOLACK,NDIAFFATE,KOUTAL SERERE,1,451.0,CLASSE CM1
KAOLACK,NDIAFFATE,MBITEYENE DAROU,1,473.0,CLASSE CM1
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,1,585.0,CLASSE CIA
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,2,585.0,CLASSE CPA
KAOLACK,NDIAFFATE,NDIAFFATE ESCALE,3,585.0,CLASSE CM1 B
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,1,550.0,CLASSE CP
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,2,545.0,CLASSE CE2
KAOLACK,NDIAFFATE,NDIAFFATE SERERE,3,221.0,CLASSE CM1
KAOLACK,NDIAFFATE,NDIATHIANG,1,401.0,CLASSE CE2
KAOLACK,NDIAFFATE,SANTHIE PASSY,1,383.0,ECOLE ARABE
KAOLACK,NDIAFFATE,TAWA MBOUDAYE,1,350.0,CLASSE CE2
KAOLACK,NDIAFFATE,TAWA MBOUDAYE,2,350.0,CLASSE CM1
KAOLACK,NDIAFFATE,THIAKHO THIOFFOR,1,417.0,CLASSE CE1 A
KAOLACK,NDIAFFATE,THIAKHO THIOFFOR,2,418.0,CLASSE CM1 B
KAOLACK,NDIAFFATE,THIOFFIOR,1,543.0,CLASSE CP
KAOLACK,NDIAFFATE,THIOFFIOR,2,544.0,CLASSE CE2
KAOLACK,NDIAFFATE,TOUBA SANOKHO,1,441.0,CLASSE CE2 A
KAOLACK,NDIAFFATE,VELOR SERERE,1,189.0,CLASSE CE1
KAOLACK,NDIAFFATE,VELOR SERERE,2,189.0,CLASSE CM1
