DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,NDIEBEL,ECOLE DE BELELGADIALI,1,373,CLASSE CE2
KAOLACK,NDIEBEL,ECOLE DE DIAMCIRA,1,506,CLASSE CE2
KAOLACK,NDIEBEL,ECOLE DE KEUR MBAGNE DIOP,1,457,CLASSE CE2 A
KAOLACK,NDIEBEL,ECOLE DE KEUR MBAGNE DIOP,2,456,CLASSE CE2 B
KAOLACK,NDIEBEL,ECOLE DE KOUNG KOUNG SERERE,1,369,CLASSE CM1
KAOLACK,NDIEBEL,ECOLE DE KOUNG KOUNG THIALENE,1,173,CLASSE CM2
KAOLACK,NDIEBEL,ECOLE DE MBACKE SALOUM,1,297,CLASSE CE2
KAOLACK,NDIEBEL,ECOLE DE NDIBA,1,233,CLASSE CI
KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,1,549,CLASSE CM2 B
KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,2,549,CLASSE CE2 B
KAOLACK,NDIEBEL,ECOLE DE NDIEBEL,3,550,CLASSE CM1
KAOLACK,NDIEBEL,ECOLE GOVETHIE,1,365,CLASSE CP
KAOLACK,NDIEBEL,ECOLE KEUR MADIOUF,1,413,CLASSE CE1
KAOLACK,NDIEBEL,ECOLE NDALLANE KEUR MASSAMBA,1,163,CASSE CI
KAOLACK,NDIEBEL,NDALLANE MALICK NOR,1,328,CASE DE SANTE
