DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,SIBASSOR,ECOLE DE DIOMKHEL,1,365,CLASSE CE1
KAOLACK,SIBASSOR,ECOLE DE NGOLOTHIE,1,579,CLASSE CM2
KAOLACK,SIBASSOR,ECOLE SIBASSOR 1,1,566,CLASSE CM1 B
KAOLACK,SIBASSOR,ECOLE SIBASSOR 1,2,554,CLASSE CEM2 B
KAOLACK,SIBASSOR,ECOLE SIBASSOR 1,3,562,CLASSE CM1 A
KAOLACK,SIBASSOR,ECOLE SIBASSOR 1,4,563,CLASSE CE1 B
KAOLACK,SIBASSOR,ECOLE SIBASSOR 1,5,410,CLASSE CP B
KAOLACK,SIBASSOR,ECOLE SIBASSOR 2,1,549,CLASSE CE2 A
KAOLACK,SIBASSOR,ECOLE SIBASSOR 2,2,549,CLASSE CM2 A
KAOLACK,SIBASSOR,ECOLE SIBASSOR 2,3,549,SALLE 12
