DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,THIARE,DAROU PAKA THIAR,1,579.0,POSTE DE SANTE DAROU PAKA THIAR
KAOLACK,THIARE,KERVAL,1,366.0,CLASSE CE1
KAOLACK,THIARE,KEUR SAFADI,1,588.0,CLASSE CM2
KAOLACK,THIARE,KEUR SERIGNE BASSIROU,1,411.0,CASE ASBEF
KAOLACK,THIARE,KEUR SETTE AWA,1,320.0,CLASSE CI
KAOLACK,THIARE,KEUR SETTE AWA,2,319.0,CLASSE CE1
KAOLACK,THIARE,KOKI,1,243.0,CLASSE CE2
KAOLACK,THIARE,KOUPETHIE THIAMENE,1,502.0,CLASSE CM2
KAOLACK,THIARE,NDIAMBOUR,1,358.0,ECOLE NDIAMBOUR
KAOLACK,THIARE,NGAMBI,1,369.0,CLASSE CM2
KAOLACK,THIARE,PAKATHIAR,1,404.0,CLASSE CE1
KAOLACK,THIARE,PAKATHIAR,2,404.0,CLASSE CM1
KAOLACK,THIARE,SENALA KEUR DIABEL,1,533.0,CLASSE CP
KAOLACK,THIARE,SENALA KEUR DIABEL,2,534.0,CLASSE ARABE
KAOLACK,THIARE,THIAKHO MATAR,1,488.0,CM2
KAOLACK,THIARE,THIAKHO MATI,1,563.0,CLASSE C P
KAOLACK,THIARE,THIANGA ELHADJI MOMATH,1,292.0,CLASSE CE2
KAOLACK,THIARE,THIARE,1,562.0,CLASSE CE1A
KAOLACK,THIARE,THIARE,2,562.0,CLASSE CM2A
KAOLACK,THIARE,THINDOGNE,1,300.0,CLASSE CP
KAOLACK,THIARE,THINDOGNE,2,299.0,CLASSE CM1
