DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,DAROU SALAM,BARKEVEL,1,517,CLASSE CE 2
NIORO DU RIP,DAROU SALAM,BARKEVEL,2,517,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,DAGA SECCO,1,381,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,DAROU ALIME,1,412,ABRI PROVISOIRE
NIORO DU RIP,DAROU SALAM,DAROU SALAM,1,587,CLASSE CM 1
NIORO DU RIP,DAROU SALAM,DAROU SALAM,2,585,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,DAROU SALAM,3,114,CLASSE CE1
NIORO DU RIP,DAROU SALAM,DERTADI OUOLOF,1,348,CLASSE CE 1
NIORO DU RIP,DAROU SALAM,DIAMAGUENE,1,538,CLASSE CM 1
NIORO DU RIP,DAROU SALAM,DIAMVELI OUOLOF,1,591,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,KAPAYE NDIAGA,1,178,CLASSE CE 1
NIORO DU RIP,DAROU SALAM,KEUR CHEIKHOU OUMAR,1,210,SALLE DE CLASSE
NIORO DU RIP,DAROU SALAM,KEUR GAMOU,1,375,CLASSE CM 1
NIORO DU RIP,DAROU SALAM,KEUR GAMOU,2,375,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,KEUR MADIABEL RIP,1,88,ABRI PROVISOIRE
NIORO DU RIP,DAROU SALAM,KEUR MARI,1,294,CLASSE CE 2
NIORO DU RIP,DAROU SALAM,KEUR SAFATIM,1,176,ABRI PROVISOIRE
NIORO DU RIP,DAROU SALAM,MAKA NDIENGHENE,1,419,EFA
NIORO DU RIP,DAROU SALAM,MEDINA PARKHA,1,248,ABRI PROVISOIRE
NIORO DU RIP,DAROU SALAM,MEDINA THIEKENE,1,162,ECOLE ARABE
NIORO DU RIP,DAROU SALAM,MEDINA THIEKENE,2,162,ECOLE ARABE
NIORO DU RIP,DAROU SALAM,NDAMA,1,524,CLASSE CM 1
NIORO DU RIP,DAROU SALAM,NDEMENE,1,396,CLASSE CP 2
NIORO DU RIP,DAROU SALAM,NDEMENE,2,396,CLASSE CM 1
NIORO DU RIP,DAROU SALAM,TOUBA SALOUM,1,493,EFA
NIORO DU RIP,DAROU SALAM,TOUBA SALOUM,2,493,EFA
NIORO DU RIP,DAROU SALAM,VELINGARA NDEMENE,1,406,CLASSE CM 2
NIORO DU RIP,DAROU SALAM,YADOULAYE NDEMENE,1,563,ECOLE ARABE
NIORO DU RIP,DAROU SALAM,YADOULAYE NDEMENE,2,136,ECOLE ARABE
