DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KAYEMOR,COULOUMBOUDOU,1,579.0,CASE DE SANTE
NIORO DU RIP,KAYEMOR,ECOLE ELEMENTAIRE DAROU KHOUDOSS,1,231.0,SALLE DE CLASSE
NIORO DU RIP,KAYEMOR,KAYEMOR,1,523.0,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,KAYEMOR,2,523.0,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,KAYEMOR,3,523.0,ECOLE CLASSE CE1
NIORO DU RIP,KAYEMOR,KEUR AYIB TOURE,1,416.0,ECOLE CLASSE CE2
NIORO DU RIP,KAYEMOR,KEUR AYIB TOURE,2,346.0,CLASSE CP
NIORO DU RIP,KAYEMOR,KEUR BAKARI,1,492.0,ECOLE CLASSE SALLE 5
NIORO DU RIP,KAYEMOR,KEUR BAKARI,2,492.0,ECOLE CLASSE SALLE 3
NIORO DU RIP,KAYEMOR,KEUR SAMBA DIAMA,1,217.0,ABRI PROVISOIRE
NIORO DU RIP,KAYEMOR,KEUR SAMBA DIE,1,557.0,CASE DE SANTE
NIORO DU RIP,KAYEMOR,NDIARGUENE,1,350.0,ECOLE ARABE
NIORO DU RIP,KAYEMOR,NDIMB TABA,1,312.0,CASE DE SANTE
NIORO DU RIP,KAYEMOR,PADAF,1,573.0,ECOLE ARABE
NIORO DU RIP,KAYEMOR,SANTHIOU KOHEL,1,377.0,ECOLE CLASSE CM2
NIORO DU RIP,KAYEMOR,SONKORONG,1,485.0,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,SONKORONG,2,486.0,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,SOTOKOYE,1,247.0,ABRI PROVISOIRE
NIORO DU RIP,KAYEMOR,TENE PEULH,1,494.0,ECOLE CLASSE CM1
NIORO DU RIP,KAYEMOR,THISSE KAYEMOR ECOLE,1,524.0,ECOLE CLASSE CP
NIORO DU RIP,KAYEMOR,THISSE KAYEMOR ECOLE,2,524.0,ECOLE CLASSE CM1
