DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KEUR MABA DIAKHOU,GORIA,1,363,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR AMATH SEYDOU,1,534,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR GALDERI,1,272,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MABA DIAKHOU,1,548,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MABA DIAKHOU,2,546,CLASSE 3
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MALICK RAMATA,1,193,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR SAROKHY,1,300,CLASSE1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR SERIGNE BA,1,140,ECOLE SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,KOURANKOU,1,263,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,LOUMENE OUSMANE,1,251,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NAOULEROU,1,425,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDEMENEL,1,214,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAGNE WALO,1,548,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAGNE WALO,2,165,SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAYENE POSTE,1,389,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIOBENE WALO,1,404,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIOBENE WALO,2,404,SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,NDRAME DIMB,1,242,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NGUEYENE MAMADI,1,276,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NIANGHENE,1,174,ABRI PROVISORE
NIORO DU RIP,KEUR MABA DIAKHOU,NIASSENE,1,360,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,NIASSENE,2,360,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,PANE ABDOULAYE DIOP,1,375,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,PASSI KHOUR,1,118,ABRI PROVISORE
NIORO DU RIP,KEUR MABA DIAKHOU,SAMBOUMBA,1,240,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THIAMBENE,1,286,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THIARENE MATAR,1,390,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THILLA GARANG,1,248,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,THILLA GARANG,2,248,CLASSE 3
NIORO DU RIP,KEUR MABA DIAKHOU,VELINGARA,1,442,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,VELINGARA,2,442,CLASSE 3
