DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 1,1,490,CLASSE 1
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 1,2,502,CLASSE 4
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 1,3,490,CLASSE 6
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 2,1,593,CLASSE 1
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 2,2,593,CLASSE 3
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 2,3,592,CLASSE 5
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 2,4,593,CLASSE 7
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 3,1,555,CLASSE 1
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 3,2,550,CLASSE 3
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 3,3,550,CLASSE 5
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 3,4,502,CLASSE 7
NIORO DU RIP,KEUR MADIABEL,KEUR MADIABEL ECOLE 3,5,406,SALLE DE CLASSE
