DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KEUR MADONGO,KEUR ABDOU DIAFFE TOUCOULEUR,1,285,CLASSE 1
NIORO DU RIP,KEUR MADONGO,KEUR MANDONGO,1,537,CLASSE 1
NIORO DU RIP,KEUR MADONGO,KEUR MANDONGO,2,536,CLASSE 3
NIORO DU RIP,KEUR MADONGO,KEUR MANIEBE,1,238,CASE DE  SANTE
NIORO DU RIP,KEUR MADONGO,MISSIRAH DINE,1,348,CLASSE 2
NIORO DU RIP,KEUR MADONGO,NDEME,1,160,CLASSE 1
NIORO DU RIP,KEUR MADONGO,NDEME,2,161,CLASSE 2
NIORO DU RIP,KEUR MADONGO,NDIAGO 2,1,280,CLASSE 1
NIORO DU RIP,KEUR MADONGO,NDIENGHENE IBRA,1,399,CLASSE 1
NIORO DU RIP,KEUR MADONGO,NDOUNGOUTI MALICK,1,211,ABRI PROVISOIRE
NIORO DU RIP,KEUR MADONGO,TAYBA MBAYENE,1,483,CLASSE 1
NIORO DU RIP,KEUR MADONGO,THIAMENE OUSMANE,1,230,CLASSE 1
NIORO DU RIP,KEUR MADONGO,THIOYENE SERIGNE,1,196,CLASSE 1
