DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,MEDINA SABAKH,DIAGLE,1,247.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,DJIGUIMAR,1,439.0,ECOLE CLASSE C R
NIORO DU RIP,MEDINA SABAKH,DJIGUIMAR,2,438.0,ECOLE CLASSE KFW
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE BOUMBOUNE,1,314.0,SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,1,427.0,SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,2,427.0,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,3,426.0,ECOLE CLASSE CP
NIORO DU RIP,MEDINA SABAKH,FALIFA,1,392.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,FALIFA,2,391.0,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,1,567.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,2,564.0,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,3,569.0,ECOLE CLASSE CP
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,4,567.0,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,5,568.0,CLASSE CE1
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,6,178.0,ECOLE CLASSE CP2
NIORO DU RIP,MEDINA SABAKH,KEUR BAMBA GUEYE,1,330.0,ECOLE ARABE
NIORO DU RIP,MEDINA SABAKH,KEUR KATIM DIAKHOU,1,359.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR KATIM DIAMA,1,504.0,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR NGATANE,1,403.0,ABRI RPOVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR NGATANE,2,403.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR SETTE DIABOU,1,375.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KOHEL,1,432.0,CASE DE SANTE
NIORO DU RIP,MEDINA SABAKH,KOUPAK KEUR BIRANE GAMOU,1,327.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,MBAPP,1,207.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,1,467.0,ECOLE 1 CLASSE CI A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,2,467.0,ECOLE 1 CLASSE CE 1 A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,3,466.0,ECOLE 1 CLASSE CM 1 A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,4,466.0,ECOLE 1 CLASSE CM 1 B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,5,466.0,ECOLE 1 CLASSE CP B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,6,467.0,CLASSE CM2 B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 2,1,501.0,ECOLE 2 CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 2,2,500.0,ECOLE 1 CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,NDIAWARA,1,160.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKALA,1,264.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKALA,2,263.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKANE KEUR SAMBA,1,346.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKANE KEUR SAMBA,2,346.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PASSI RIP,1,538.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,PAYOMA,1,303.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,PAYOMA,2,304.0,ECOLE SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,SANGHAP,1,470.0,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,SANGHAP,2,469.0,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,SANTHIE MEDINA,1,402.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,SANTHIE SANGHAP,1,334.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,SIWOL,1,408.0,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,YONGO,1,150.0,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,YOUNA,1,172.0,ECOLE ELEMENTAIRE/ CLASSE CM2
