DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,NGAYENE,DAROU MBAPP,1,509,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,DAROU MBAPP,2,508,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,DIAGLE NGAYENE,1,317,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,DIAMA KACOUNDA DIAMA SICOUNDA,1,298,ECOLE CLASSE CE1
NIORO DU RIP,NGAYENE,DIAMA PALENE MBAYENE,1,226,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,DIAMA PASSI,1,350,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,DIAMA THIEWI,1,510,ECOLE CLASSE CE2
NIORO DU RIP,NGAYENE,ECOLE ELEMENTAIRE DIAMA MOUSSA,1,350,SALLE DE CLASSE
NIORO DU RIP,NGAYENE,ECOLE ELEMENTAIRE DIAMA MOUSSA,2,350,SALLE DE CLASSE
NIORO DU RIP,NGAYENE,ECOLE FRANCO-ARABE TAIF,1,367,SALLE DE CLASSE
NIORO DU RIP,NGAYENE,FASS NGAYENE,1,356,ABRI RPOVISOIRE
NIORO DU RIP,NGAYENE,LOHENE,1,493,ECOLE CLASSE CE2
NIORO DU RIP,NGAYENE,LOHENE,2,492,ECOLE CLASSE CM2
NIORO DU RIP,NGAYENE,NDIABO,1,307,ABRI PROVISOIRE
NIORO DU RIP,NGAYENE,NGAYENE ECOLE,1,464,CLASSE CE1
NIORO DU RIP,NGAYENE,NGAYENE ECOLE,2,464,CM2
NIORO DU RIP,NGAYENE,NGAYENE FOYER DES JEUNES,1,546,BATIMENT FOYER DES JEUNES
NIORO DU RIP,NGAYENE,NGAYENE FOYER DES JEUNES,2,545,BATIMENT FOYER DES JEUNES
NIORO DU RIP,NGAYENE,PASSI NGAYENE,1,445,ECOLE CLASSE CE1
NIORO DU RIP,NGAYENE,PASSI NGAYENE,2,444,ECOLE CLASSE CP
NIORO DU RIP,NGAYENE,SINE NGAYENE,1,581,ECOLE CLASSE CE2
NIORO DU RIP,NGAYENE,SINE NGAYENE,2,52,CLASSE CE1
NIORO DU RIP,NGAYENE,THIEKENE,1,195,ABRI PROVISOIRE
