DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,PAOSKOTO,DAROU NAHIM,1,217,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,1,595,CLASSE CP 2
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,2,594,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,3,595,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,4,594,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,GAPAKH,1,572,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,GAPAKH,2,44,CLASSE CM1
NIORO DU RIP,PAOSKOTO,KENIEBA KEUR BANDIOUGOU,1,125,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,KEUR AMATH DRAME,1,493,MAGASIN POLYVALENT
NIORO DU RIP,PAOSKOTO,KEUR MALLE,1,420,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,KEUR NDJIGOU,1,174,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,MBAYE FAYE MASSERIGNE,1,320,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,PAKALA MBAYENE,1,373,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,PAOSKOTO,1,530,CLASSE CE 1
NIORO DU RIP,PAOSKOTO,PAOSKOTO,2,529,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,PAOSKOTO,3,530,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,PAOSKOTO,4,530,CI A
NIORO DU RIP,PAOSKOTO,VENTHIEVI,1,322,CLASSE CE 1
NIORO DU RIP,PAOSKOTO,VENTHIEVI,2,321,CLASSE CM 1
