DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,POROKHANE,AFIA THIAMENE,1,579.0,CLASSE CE2
NIORO DU RIP,POROKHANE,AFIA THIAMENE,2,205.0,CLASSE CM1
NIORO DU RIP,POROKHANE,DAGA ALBOURI ECOLE,1,338.0,CLASSE CE1
NIORO DU RIP,POROKHANE,DAROU MOUGNAGUENE,1,551.0,CLASSE CM2
NIORO DU RIP,POROKHANE,DAROU MOUGNAGUENE,2,135.0,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR BABOU DIOP,1,506.0,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR BIDJI AWA,1,506.0,CLASSE CE1
NIORO DU RIP,POROKHANE,KEUR BIRANE DIA,1,307.0,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR BIRANE DIA,2,306.0,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR DIATTA,1,196.0,CLASSE CE1
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,1,537.0,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,2,539.0,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,3,282.0,CLASSE CE2
NIORO DU RIP,POROKHANE,KEUR SETTE DIAKHOU,1,458.0,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR SETTE DIAKHOU,2,459.0,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR SOUNTOU,1,539.0,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR TAMBA,1,429.0,CLASSE CE2
NIORO DU RIP,POROKHANE,MEDINA MOUNAWAR,1,388.0,ECOLE CLASSE CM1
NIORO DU RIP,POROKHANE,MEDINA OUMAR NIANG,1,431.0,ECOLE CLASSE CM2
NIORO DU RIP,POROKHANE,MEDINA OUMAR NIANG,2,431.0,ECOLE CLASSE CE2
NIORO DU RIP,POROKHANE,NDIENGHENE KEUR MALOBE,1,526.0,CLASSE CE1
NIORO DU RIP,POROKHANE,NDIENGHENE KEUR MALOBE,2,526.0,CLASSE CM2
NIORO DU RIP,POROKHANE,POROKHANE,1,565.0,CLASSE CP2
NIORO DU RIP,POROKHANE,POROKHANE,2,567.0,CLASSE CE1
NIORO DU RIP,POROKHANE,POROKHANE,3,566.0,CLASSE CE2
NIORO DU RIP,POROKHANE,POROKHANE,4,570.0,CLASSE CM2
NIORO DU RIP,POROKHANE,POROKHANE,5,557.0,SALLE DE CLASSE
NIORO DU RIP,POROKHANE,POROKHANE,6,569.0,CE1 B
NIORO DU RIP,POROKHANE,POROKHANE,7,460.0,CLASSE CM1
