DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,WACK NGOUNA,CASE DES TOUT-PETITS,1,552.0,SALLE DE CONFERENCES
NIORO DU RIP,WACK NGOUNA,DAGA BANI,1,390.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,DAROU MATAR,1,440.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,DAROU SALAM MOURIDE,1,376.0,ECOLE PUBLIQUE CLASSE 1
NIORO DU RIP,WACK NGOUNA,FETTO,1,371.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR AMADI NGUENAR,1,176.0,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,KEUR BABOU MBOMBE,1,337.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MADI YACINE,1,477.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MAMADOU NENE,1,348.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MAMOUR COUMBA,1,418.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR SACOUMBA,1,209.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR SAMBA KA,1,458.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,KEUR SEYDOU BA,1,381.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,1,518.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,2,512.0,CLASSE 2
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,3,309.0,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,KOTINETE,1,336.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KOUTANGO,1,205.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,MBADIENE,1,332.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,MBAYENE,1,514.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,MEDINA THIAMENE,1,438.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,MERELLA YORO,1,199.0,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,NDIAGO 1,1,465.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,NDIAGO 1,2,464.0,CLASSE 2
NIORO DU RIP,WACK NGOUNA,NDIAYENE CADD,1,94.0,ECOLE CLASSE 2
NIORO DU RIP,WACK NGOUNA,NDIBA,1,329.0,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,NDIOUFFENE THIVALO,1,166.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,PANE MATH,1,230.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,PANE MATH,2,230.0,CLASSE 2
NIORO DU RIP,WACK NGOUNA,PASSI BABOU,1,405.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,SABOYA,1,566.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,SABOYA,2,64.0,CLASSE CI
NIORO DU RIP,WACK NGOUNA,SAMAKO TOUCOULEUR,1,450.0,CLASSE 1
NIORO DU RIP,WACK NGOUNA,SOUCOUTA,1,468.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,SOUCOUTA,2,467.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,THIAMENE DIOGO,1,226.0,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,THIARENE ALASSANE,1,421.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,TOUBA 1,1,206.0,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,WACK CEM,1,599.0,SALLE PLAN 1
NIORO DU RIP,WACK NGOUNA,WACK ECOLE PRIMAIRE,1,590.0,SALLE 1
NIORO DU RIP,WACK NGOUNA,WACK ECOLE PRIMAIRE,2,589.0,SALLE 3
