DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,1,583,CLASSE CM1
KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,2,204,CLASSE CE1
KEDOUGOU,DIMBOLI,BARA,1,225,ABRI PROVISOIRE
KEDOUGOU,DIMBOLI,DIALAYA 2,1,177,CLASSE CM2
KEDOUGOU,DIMBOLI,DIAN HERI,1,188,CLASSE CM2
KEDOUGOU,DIMBOLI,DIMBOLI,1,256,CLASSE CM2
KEDOUGOU,DIMBOLI,DIMBOLI,2,255,CLASSE CE2
KEDOUGOU,DIMBOLI,ECOLE BAMBAYA,1,165,CLASSE CM1
KEDOUGOU,DIMBOLI,KAFORI,1,226,CLASSE CM2
KEDOUGOU,DIMBOLI,KAFORI,2,226,CLASSE CM1
KEDOUGOU,DIMBOLI,MALINDA,1,271,CLASSE CM1
KEDOUGOU,DIMBOLI,MALLEME,1,190,CLASSE CE2
KEDOUGOU,DIMBOLI,VELINGARA,1,216,CLASSE CM1
