DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,TOMBORONKOTO,BADON,1,190,CLASSE CM 2
KEDOUGOU,TOMBORONKOTO,BAGNOMBA,1,351,CLASSE CE 1
KEDOUGOU,TOMBORONKOTO,BANTATA MALINKE,1,186,CLASSE CM2
KEDOUGOU,TOMBORONKOTO,BANTATA TANDA,1,132,CLASSE CP
KEDOUGOU,TOMBORONKOTO,KABATEGUINDA,1,463,CLASSE CE 1
KEDOUGOU,TOMBORONKOTO,KABATEGUINDA,2,165,CLASSE CM1
KEDOUGOU,TOMBORONKOTO,KANOUMERI,1,261,CLASSE CM 2
KEDOUGOU,TOMBORONKOTO,MAKO,1,566,CLASSE CE 2
KEDOUGOU,TOMBORONKOTO,MAKO,2,563,CLASSE CM 1
KEDOUGOU,TOMBORONKOTO,MAKO,3,204,CLASSE CE1
KEDOUGOU,TOMBORONKOTO,MAROUGOUKOTO,1,370,CLASSE CM 2
KEDOUGOU,TOMBORONKOTO,NGARI,1,234,CLASSE CM 1
KEDOUGOU,TOMBORONKOTO,NIEMENIKE,1,556,CLASSE CE 2
KEDOUGOU,TOMBORONKOTO,NIEMENIKE,2,104,CLASSE CM1
KEDOUGOU,TOMBORONKOTO,TAMBANOUMOUYA,1,251,CLASSE CE1
KEDOUGOU,TOMBORONKOTO,TOMBORONKOTO,1,566,CLASSE CM 2
KEDOUGOU,TOMBORONKOTO,TOMBORONKOTO,2,88,CLASSE CM1
