DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SARAYA,SABODOLA,BAMBARAYA,1,289.0,SALLE CLASSE CE
SARAYA,SABODOLA,BRANSAN,1,290.0,CLASSE CE1
SARAYA,SABODOLA,BRANSAN,2,291.0,CLASSE CE2
SARAYA,SABODOLA,DIALAKOTOBA,1,272.0,SALLE CLASSE CE
SARAYA,SABODOLA,DINDIFA,1,133.0,SALLE DE CLASSE CE
SARAYA,SABODOLA,FALOUMBOU,1,186.0,SALLE CLASSE CE
SARAYA,SABODOLA,MADINA SABODALA,1,336.0,SALLE DE CLASSE CE
SARAYA,SABODOLA,MAKHANA BINDI BANDADJI,1,165.0,SALLE DE CLASSE CE
SARAYA,SABODOLA,MAMAKHONO,1,363.0,SALLE CLASSE CE
SARAYA,SABODOLA,MAMAKHONO,2,364.0,SALLE CLASSE CM
SARAYA,SABODOLA,NIAKHAFIRI SABODALLA 2,1,416.0,SALLE CLASSE CM
SARAYA,SABODOLA,NIAKHAFIRI SABODALLA 2,2,416.0,SALLE DE CLASSE CE
SARAYA,SABODOLA,TENKOTO,1,354.0,SALLE CLASSE CE
