REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,KOLDA,BAGADAJI,ALEXANDRIE,1,257.0,ABRI PROVISOIRE
KOLDA,KOLDA,BAGADAJI,BAGADAJI,1,454.0,CLASSE CE 1A
KOLDA,KOLDA,BAGADAJI,BAGADAJI,2,485.0,CLASSE CE 1B
KOLDA,KOLDA,BAGADAJI,BAGADAJI,3,249.0,SALLE DE CLASSE
KOLDA,KOLDA,BAGADAJI,ECOLE AFFIA SAMBA,1,155.0,SALLE DE CLASSE
KOLDA,KOLDA,BAGADAJI,ECOLE MEDINA FODE,1,181.0,SALLE DE CLASSE
KOLDA,KOLDA,BAGADAJI,ECOLE SARE SARA,1,248.0,SALLE DE CLASSE
KOLDA,KOLDA,BAGADAJI,IBRAHIMA NIMA,1,321.0,CLASSE CM 2
KOLDA,KOLDA,BAGADAJI,ILIYAO MAMADOU SEYDI,1,273.0,CLASSE CM2
KOLDA,KOLDA,BAGADAJI,KAMPISSA,1,272.0,CLASSE C M 2
KOLDA,KOLDA,BAGADAJI,MAHON OUSMANE,1,140.0,CLASSE CM 2
KOLDA,KOLDA,BAGADAJI,MEDINA ABDOUL,1,267.0,CLASSE CI
KOLDA,KOLDA,BAGADAJI,MEDINA SEYDOU BA,1,448.0,SALLE DE CLASSE
KOLDA,KOLDA,BAGADAJI,MISSIRA OUSMANE,1,238.0,ABRI PROVISOIRE
KOLDA,KOLDA,BAGADAJI,SALAMATA,1,371.0,CLASSE CM 1
KOLDA,KOLDA,BAGADAJI,SARE LOUNTANG MAMBOUA,1,314.0,CLASSE CM 2
KOLDA,KOLDA,BAGADAJI,SARE SANDIONG,1,455.0,CLASSE CM 1
KOLDA,KOLDA,BAGADAJI,SARE SOUMA,1,165.0,CLASSE CI
KOLDA,KOLDA,BAGADAJI,SINTHIANG DEMBA BALDE,1,170.0,CLASSE CP
KOLDA,KOLDA,BAGADAJI,SINTHIANG EL HADJI SALIF,1,322.0,CLASSE ARABE
KOLDA,KOLDA,COUMBACARA,BAMBADINKA,1,361.0,CLASSE CE 2
KOLDA,KOLDA,COUMBACARA,BOUBOREL,1,296.0,CLASSE CE 1
KOLDA,KOLDA,COUMBACARA,COUMBACARA,1,543.0,CLASSE CE 1
KOLDA,KOLDA,COUMBACARA,COUMBACARA,2,542.0,CLASSE CE 2
KOLDA,KOLDA,COUMBACARA,DIALACOUMBI,1,376.0,CLASSE CM 1
KOLDA,KOLDA,COUMBACARA,DIAMBOUR KOMBO,1,387.0,CLASSE CM 2
KOLDA,KOLDA,COUMBACARA,ECOLE SARE ALETTE,1,234.0,SALLE DE CLASSE
KOLDA,KOLDA,COUMBACARA,ECOLE SARE MANSALI,1,272.0,SALLE DE CLASSE
KOLDA,KOLDA,COUMBACARA,MEDINA DEMBA BILLO,1,355.0,CLASSE CE 2
KOLDA,KOLDA,COUMBACARA,SARE NIYEL,1,353.0,CLASSE CM 2
KOLDA,KOLDA,COUMBACARA,THIDELLI,1,321.0,CLASSE CP
KOLDA,KOLDA,COUMBACARA,THIDELLI,2,321.0,CLASSE CM 2
KOLDA,KOLDA,DABO,ECOLE ELEMENTAIRE DABO,1,594.0,CLASSE CM 1B
KOLDA,KOLDA,DABO,ECOLE ELEMENTAIRE DABO,2,594.0,CLASSE CE 2B
KOLDA,KOLDA,DABO,ECOLE ELEMENTAIRE DABO,3,594.0,CLASSE CE 1A
KOLDA,KOLDA,DABO,ECOLE ELEMENTAIRE DABO,4,590.0,SALLE DE CLASSE
KOLDA,KOLDA,DABO,ECOLE TABASSAYE MANDINGUE,1,222.0,CLASSE CE2
KOLDA,KOLDA,DABO,TABAWAL ABDOUL,1,214.0,ABRI PROVISOIRE
KOLDA,KOLDA,DABO,TEMENTO DJIDE,1,365.0,CLASSE CE 2
KOLDA,KOLDA,DABO,THIAFFENA,1,257.0,CLASSE CI
KOLDA,KOLDA,DIALAMBERE,BOUGNA MANGAL,1,268.0,CLASSE CI
