DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,COUMBACARA,BAMBADINKA,1,361.0,CLASSE CE 2
KOLDA,COUMBACARA,BOUBOREL,1,296.0,CLASSE CE 1
KOLDA,COUMBACARA,COUMBACARA,1,543.0,CLASSE CE 1
KOLDA,COUMBACARA,COUMBACARA,2,542.0,CLASSE CE 2
KOLDA,COUMBACARA,DIALACOUMBI,1,376.0,CLASSE CM 1
KOLDA,COUMBACARA,DIAMBOUR KOMBO,1,387.0,CLASSE CM 2
KOLDA,COUMBACARA,ECOLE SARE ALETTE,1,234.0,SALLE DE CLASSE
KOLDA,COUMBACARA,ECOLE SARE MANSALI,1,272.0,SALLE DE CLASSE
KOLDA,COUMBACARA,MEDINA DEMBA BILLO,1,355.0,CLASSE CE 2
KOLDA,COUMBACARA,SARE NIYEL,1,353.0,CLASSE CM 2
KOLDA,COUMBACARA,THIDELLI,1,321.0,CLASSE CP
KOLDA,COUMBACARA,THIDELLI,2,321.0,CLASSE CM 2
