DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,DIALAMBERE,BOUGNA MANGAL,1,268.0,CLASSE CI
KOLDA,DIALAMBERE,DIALAMBERE,1,489.0,CLASSE CE 2
KOLDA,DIALAMBERE,DIALAMBERE,2,489.0,CLASSE CM 1
KOLDA,DIALAMBERE,DIATTAMINE,1,172.0,CLASSE CM 1
KOLDA,DIALAMBERE,ECOLE COUMAMBOURE,1,571.0,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE KANDIATOR,1,158.0,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE NDAYBATOU MAMADOU LAMINE,1,191.0,SALLE DE CLASSE
KOLDA,DIALAMBERE,ECOLE NGOUDOUMANE BACARI,1,322.0,SALLE DE CLASSE
KOLDA,DIALAMBERE,FODE BAYO,1,268.0,CLASSE CM 1
KOLDA,DIALAMBERE,KODIENGUINA,1,256.0,CLASSE CE2
KOLDA,DIALAMBERE,NGOCKI,1,573.0,CLASSE CE 2
KOLDA,DIALAMBERE,TEMENTO ELI,1,155.0,ABRI PROVISOIRE
KOLDA,DIALAMBERE,THIARRA,1,400.0,CLASSE CE 2
KOLDA,DIALAMBERE,THIEWAL LAO,1,349.0,CLASSE CE 2
KOLDA,DIALAMBERE,VELINGARA YELLE,1,212.0,CLASSE CM 2
