DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,GUIRO YERO BOCAR,BERTHO,1,278,CLASSE CM2
KOLDA,GUIRO YERO BOCAR,DAROU ISSA,1,294,ABRI PROVISOIRE
KOLDA,GUIRO YERO BOCAR,ECOLE DAYFA,1,176,SALLE DE CLASSE
KOLDA,GUIRO YERO BOCAR,ECOLE FOULAMORI,1,184,SALLE DE CLASSE
KOLDA,GUIRO YERO BOCAR,ECOLE MBALLOCOUNDA SARE SISSAO,1,375,SALLE DE CLASSE
KOLDA,GUIRO YERO BOCAR,ECOLE MEDINA TENING BALDE,1,114,SALLE DE CLASSE
KOLDA,GUIRO YERO BOCAR,GUIRO YERO BOCAR,1,412,CLASSE CP
KOLDA,GUIRO YERO BOCAR,GUIRO YERO BOCAR,2,411,CLASSE CE 2
KOLDA,GUIRO YERO BOCAR,GUIRO YERO BOCAR,3,411,CLASSE CM 1
KOLDA,GUIRO YERO BOCAR,GUIRO YERO BOCAR,4,411,CLASSE CM 2
KOLDA,GUIRO YERO BOCAR,ILIYAO,1,515,CLASSE CM 1
KOLDA,GUIRO YERO BOCAR,KAMBOUA,1,415,CLASSE CM 2
KOLDA,GUIRO YERO BOCAR,LINGUETTO,1,390,CLASSE CM 1
KOLDA,GUIRO YERO BOCAR,MISSIRA SAMBA MAMBOUA,1,189,CLASSE CM 1
KOLDA,GUIRO YERO BOCAR,SARE GUIRO,1,139,ABRI PROVISOIRE
KOLDA,GUIRO YERO BOCAR,SARE SAMBA DJIBEL,1,305,CLASSE CM 2
KOLDA,GUIRO YERO BOCAR,SINTHIANG SEYNI,1,202,CLASSE CM 2
KOLDA,GUIRO YERO BOCAR,TEMENTO SAMBA MAMBOUA,1,343,CLASSE CM 2
