DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,MAMPATIM,AYNE MADI YORO,1,576.0,CLASSE CM 2
KOLDA,MAMPATIM,AYNE MADI YORO,2,60.0,CLASSE CE1
KOLDA,MAMPATIM,DARSALAM MAMADOU TOURE,1,191.0,CLASSE CM2
KOLDA,MAMPATIM,DIANKANCOUNDA MAOUDE,1,390.0,ABRI PROVISOIRE
KOLDA,MAMPATIM,DIANKANCOUNDA OGUEL,1,247.0,CLASSE CM 1
KOLDA,MAMPATIM,DIANKANCOUNDA OGUEL,2,247.0,CLASSE CI
KOLDA,MAMPATIM,ECOLE MADINA NIOUGUE,1,291.0,SALLE DE CLASSE
KOLDA,MAMPATIM,ECOLE MEDINA META KORASSE,1,330.0,SALLE DE CLASSE
KOLDA,MAMPATIM,FOULADOU YERO,1,474.0,CLASSE CP
KOLDA,MAMPATIM,MAMPATIM,1,424.0,CLASSE CM 2A
KOLDA,MAMPATIM,MAMPATIM,2,423.0,CLASSE CM 1 A
KOLDA,MAMPATIM,MAMPATIM,3,423.0,CLASSE CI A
KOLDA,MAMPATIM,MAMPATIM,4,424.0,CLASSE CE 1B
KOLDA,MAMPATIM,MAMPATIM,5,424.0,CLASSE CP A
KOLDA,MAMPATIM,PIDIRO,1,367.0,CLASSE CE 2
KOLDA,MAMPATIM,SARE DEMBAYEL,1,507.0,CLASSE CM 2
KOLDA,MAMPATIM,SARE KANTA,1,321.0,CLASSE CE 1
KOLDA,MAMPATIM,SARE PATHE BOUYA,1,416.0,CLASSE CM 2
KOLDA,MAMPATIM,SARE PATHE BOUYA,2,416.0,CLASSE CE 1
KOLDA,MAMPATIM,WAKILARE AMADOU,1,129.0,CLASSE CI
