DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,MEDINA CHERIF,ANAMBE,1,562.0,CLASSE CM 2
KOLDA,MEDINA CHERIF,ANAMBE,2,284.0,CLASSE CE1
KOLDA,MEDINA CHERIF,AWATABA,1,572.0,CLASSE FED CE 1
KOLDA,MEDINA CHERIF,AWATABA,2,82.0,SALLE DE CLASSE
KOLDA,MEDINA CHERIF,ECOLE BANDIAGARA KOLI,1,520.0,SALLE DE CLASSE
KOLDA,MEDINA CHERIF,ECOLE DIATAFA,1,263.0,SALLE DE CLASSE
KOLDA,MEDINA CHERIF,ECOLE DIYABOUGOU KADRI,1,190.0,SALLE DE CLASSE
KOLDA,MEDINA CHERIF,ECOLE LINGUEYEL KASSOUM,1,190.0,SALLE DE CLASSE
KOLDA,MEDINA CHERIF,KOSSANKE,1,368.0,CLASSE CP
KOLDA,MEDINA CHERIF,MACINA SEYNI,1,172.0,CLASSE CM 1
KOLDA,MEDINA CHERIF,MEDINA CHERIF,1,599.0,CLASSE CM 2
KOLDA,MEDINA CHERIF,MEDINA CHERIF,2,600.0,CLASSE CP
KOLDA,MEDINA CHERIF,SARE LOUNTANG KORASSE,1,313.0,CLASSE CM 1
KOLDA,MEDINA CHERIF,SARE MAOUDE DIAO,1,115.0,CLASSE CE 1
KOLDA,MEDINA CHERIF,THIEOULE,1,558.0,CLASSE CE2
