DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,MEDINA EL HADJI,BANTANCOUNTOU MAOUNDE,1,514,CLASSE CI
KOLDA,MEDINA EL HADJI,LINKERING,1,328,CLASSE CI
KOLDA,MEDINA EL HADJI,MEDINA ALPHA SADOU,1,499,CLASSE CE 1
KOLDA,MEDINA EL HADJI,MEDINA EL HADJI,1,320,CLASSE CI
KOLDA,MEDINA EL HADJI,MEDINA EL HADJI,2,321,CLASSE CE 1
KOLDA,MEDINA EL HADJI,MEDINA EL HADJI,3,321,CLASSE CM 1
KOLDA,MEDINA EL HADJI,MISSIRA ISSA,1,328,CLASSE CE1
KOLDA,MEDINA EL HADJI,SANKA,1,287,CLASSE CE 1
KOLDA,MEDINA EL HADJI,SANSANKOTO,1,302,CLASSE CP
KOLDA,MEDINA EL HADJI,SARE GARDI,1,351,CLASSE CP
KOLDA,MEDINA EL HADJI,SARE KEDIANG BAKARI,1,210,ABRI PROVISOIRE
KOLDA,MEDINA EL HADJI,SARE KOUBE,1,368,CLASSE CE 1
KOLDA,MEDINA EL HADJI,SARE NDIAYE,1,341,ABRI PROVISOIRE
KOLDA,MEDINA EL HADJI,SARE WALI DIAO,1,212,ABRI PROVISOIRE
