DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,SARE BIDJI,BOGUEL,1,522.0,CLASSE CE 1
KOLDA,SARE BIDJI,BOGUEL,2,101.0,CLASSE CI
KOLDA,SARE BIDJI,ECOLE NEMOURATOU,1,164.0,CLASSE CI
KOLDA,SARE BIDJI,ECOLE SARE GAGNA,1,571.0,CLASSE CM2
KOLDA,SARE BIDJI,ECOLE THIEWEL BESSEL,1,104.0,CLASSE CE2
KOLDA,SARE BIDJI,MEDINA ABDOULAYE,1,404.0,CLASSE CP
KOLDA,SARE BIDJI,MEDINA ABDOULAYE,2,404.0,SALLE DE CLASSE
KOLDA,SARE BIDJI,NEMOURATOU,1,337.0,ECOLE NEMOURATOU
KOLDA,SARE BIDJI,NIANDIAYE,1,193.0,CLASSE CP
KOLDA,SARE BIDJI,SARE BACARY BINTA,1,532.0,CLASSE CE 1
KOLDA,SARE BIDJI,SARE BIDJI,1,516.0,CLASSE CE 1
KOLDA,SARE BIDJI,SARE BIDJI,2,517.0,CLASSE CM 1
KOLDA,SARE BIDJI,SARE BILALY,1,437.0,CLASSE CE 2
KOLDA,SARE BIDJI,SARE KOLIDIANG,1,390.0,CLASSE CE 1
KOLDA,SARE BIDJI,SARE KOLIDIANG,2,389.0,CLASSE CM 1
KOLDA,SARE BIDJI,SARE MOUSSA SOW,1,522.0,CLASSE CP
KOLDA,SARE BIDJI,SINTHIANG DEMBA MBALLO,1,423.0,CLASSE CP
KOLDA,SARE BIDJI,SOUKOU,1,285.0,CLASSE CE 2
KOLDA,SARE BIDJI,THIEWEL BESSEL,1,150.0,ECOLE THIEWEL BESSEL
