DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,TANKANTO ESCALE,BANI DIEGA,1,251.0,CLASSE CE 1
KOLDA,TANKANTO ESCALE,BOUSSOURA MAKA,1,382.0,CLASSE CE 1
KOLDA,TANKANTO ESCALE,ECOLE MEDINA SAMBEL,1,255.0,SALLE DE CLASSE
KOLDA,TANKANTO ESCALE,ECOLE MEDINA SAMBEL,2,253.0,SALLE DE CLASSE
KOLDA,TANKANTO ESCALE,MEDINA SAMBA DIAMANKA,1,284.0,CLASSE CP
KOLDA,TANKANTO ESCALE,NEMATABA MANDINGUE,1,411.0,CLASSE CE 2
KOLDA,TANKANTO ESCALE,OUMOUL KHOURE,1,449.0,CLASSE CE 1
KOLDA,TANKANTO ESCALE,SARE DIAMBOULOU,1,220.0,CLASSE CE 1
KOLDA,TANKANTO ESCALE,SARE SOUBANG,1,263.0,CLASSE CE 2
KOLDA,TANKANTO ESCALE,SINTHIANG THIERNO DEMBA,1,401.0,CLASSE CP
KOLDA,TANKANTO ESCALE,SINTHIOU BAKOUM,1,248.0,CLASSE CP
KOLDA,TANKANTO ESCALE,TALELLE,1,185.0,ABRI PROVISOIRE
KOLDA,TANKANTO ESCALE,TALTO,1,501.0,CLASSE CE 2
KOLDA,TANKANTO ESCALE,TANKANTO ESCALE,1,385.0,CLASSE CE 1
KOLDA,TANKANTO ESCALE,TANKANTO ESCALE,2,387.0,CLASSE CM 1
KOLDA,TANKANTO ESCALE,TANKANTO MAOUNDE,1,379.0,CLASSE CE 1
