DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MEDINA YORO FOULAH,BADION,BADION,1,578.0,CLASSE CM2
MEDINA YORO FOULAH,BADION,BADION,2,581.0,CI ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BADION,LINGUEDIE,1,426.0,CLASSE CE2
MEDINA YORO FOULAH,BADION,MAGASIN CEREALIER DE KOUNTHIOUDE,1,299.0,SALLE
MEDINA YORO FOULAH,BADION,MAGASIN CEREALIER DE SARE YORO BAMBI,1,541.0,SALLE
MEDINA YORO FOULAH,BADION,PIYAYE BOURE,1,306.0,CM 1 ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BADION,SARE BOYDO MALI,1,463.0,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE MOUSSAYEL,1,291.0,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE NDOUMBE,1,585.0,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE WALI,1,422.0,ABRI PROVISOIRE
