DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MEDINA YORO FOULAH,BOUROUCO,BOUROUCO,1,401.0,CLASSE CE2
MEDINA YORO FOULAH,BOUROUCO,BOUROUCO,2,402.0,CLASSE CI
MEDINA YORO FOULAH,BOUROUCO,HAMDALLAYE MAMADOU DIALLO N°2,1,398.0,CLASSE CM2
MEDINA YORO FOULAH,BOUROUCO,MEDINA DINGUIRAYE,1,468.0,ABRI PROVISOIRE
MEDINA YORO FOULAH,BOUROUCO,MEDINA DINGUIRAYE,2,468.0,ABRI PROVISOIRE
MEDINA YORO FOULAH,BOUROUCO,MEDINA DINGUIRAYE,3,468.0,ABRI PROVISOIRE
MEDINA YORO FOULAH,BOUROUCO,MEDINA MANDAKH,1,396.0,CLASSE CM2
MEDINA YORO FOULAH,BOUROUCO,MEDINA MANDAKH,2,396.0,CLASSE CP
MEDINA YORO FOULAH,BOUROUCO,MEDINA MANDAKH,3,395.0,CE 1 ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BOUROUCO,MEDINA PASSY,1,525.0,CLASSE CM2
MEDINA YORO FOULAH,BOUROUCO,MEDINA PASSY,2,526.0,CLASSE CP
MEDINA YORO FOULAH,BOUROUCO,SARE DORO THIAM,1,531.0,CLASSE CM2
MEDINA YORO FOULAH,BOUROUCO,SARE DORO THIAM,2,124.0,CLASSE CE 2
MEDINA YORO FOULAH,BOUROUCO,SAYINDING DAOUDA,1,402.0,CLASSE CI
MEDINA YORO FOULAH,BOUROUCO,TOUBA THIEKENE,1,415.0,CLASSE CE2
MEDINA YORO FOULAH,BOUROUCO,TOUBA THIEKENE,2,360.0,CLASSE CM2
MEDINA YORO FOULAH,BOUROUCO,YEDOULAYE,1,529.0,CP ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BOUROUCO,YEDOULAYE,2,525.0,CE 2 ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BOUROUCO,YEDOULAYE,3,243.0,CLASSE CM2
