DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),BELAL,1,295,ABRI PROVISOIRE
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),DAROU SALAM,1,317,ABRI PROVISOIRE
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),DINGUIRAYE,1,489,CLASSE CM2
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),DINGUIRAYE,2,487,CLASSE CE1
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),DOBONCOUNDA,1,273,CLASSE CE1
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),DOBONCOUNDA,2,273,CLASSE CI
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),KANEL,1,593,CLASSE CM2
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),KOCOUNTO,1,209,ABRI PROVISOIRE
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),MBALLO COUNDA,1,457,ABRI PROVISOIRE
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),MEDINA GOUNASSE 1,1,458,CM2
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),SARADOU,1,519,CLASSE CE2
MEDINA YORO FOULAH,DINGUIRAYE (M.Y.F.),SINTHIOU BABOU DEME,1,471,ABRI PROVISOIRE
