DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MEDINA YORO FOULAH,NIAMING,KIBASSA,1,375,CLASSE CM1
MEDINA YORO FOULAH,NIAMING,KIBASSA,2,374,CLASSE CE1
MEDINA YORO FOULAH,NIAMING,KOURKOUR BALLA,1,478,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,LINGUEYEL PATHE DIAO,1,283,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,MBANE,1,461,CLASSE CE2
MEDINA YORO FOULAH,NIAMING,MEO NDIOBENE,1,199,CLASSE CM2
MEDINA YORO FOULAH,NIAMING,NIAMING,1,565,CLASSE CE2
MEDINA YORO FOULAH,NIAMING,NIAMING,2,39,CLASSE CM1
MEDINA YORO FOULAH,NIAMING,SAME YERO GUEYE,1,293,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,SARE SAMBA TENING,1,176,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,THIALLENE,1,359,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,TOUBA MBOYENE,1,366,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,TOUBA MBOYENE,2,366,ABRI PROVISOIRE
MEDINA YORO FOULAH,NIAMING,VELIA BOUNKA,1,387,CLASSE CE2
