DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,DIAOBE KABENDOU,DIAOBE,1,582,CLASSE CM1 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,2,580,CLASSE CM1 C
VELINGARA,DIAOBE KABENDOU,DIAOBE,3,578,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,4,582,CLASSE CE2 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,5,577,CLASSE CI A
VELINGARA,DIAOBE KABENDOU,DIAOBE,6,573,CI B
VELINGARA,DIAOBE KABENDOU,DIAOBE,7,558,SALLE DE CLASSE
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,1,532,CLASSE CP A
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,2,535,CLASSE CE2
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,3,537,CLASSE CE1 A
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,4,373,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,MAREWE SAMBA SABALY,1,454,ABRI PROVISOIRE
VELINGARA,DIAOBE KABENDOU,MEDINA SAMBA KANDE,1,578,CLASSE CP
VELINGARA,DIAOBE KABENDOU,MEDINA SAMBA KANDE,2,235,CLASSE CM2
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,1,563,CLASSE CI
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,2,563,CLASSE CM2
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,3,564,CM I
VELINGARA,DIAOBE KABENDOU,SOUTOURE,1,552,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,SOUTOURE,2,111,CLASSE CM1 A
